x,y,labels
0.26597434,0.51727915,5
0.60954964,0.36769962,6
0.09036408,0.6381447,1
0.1190784,0.18987617,5
0.55966324,0.41269946,13
0.49633375,0.40022543,11
0.22502722,0.4325589,7
0.418216,0.5754677,0
0.80037624,0.66134393,2
0.551781,0.41806304,6
0.10522125,0.60789746,1
0.87868905,0.3370385,12
0.47758487,0.67407274,0
0.4150913,0.6395,0
0.4150913,0.6395,0
0.44272035,1.0,0
0.120695464,0.5963026,1
0.65931344,0.70876426,2
0.8729667,0.5871568,9
0.45567283,0.11128007,3
0.47758487,0.67407274,0
0.4339335,0.65958405,11
0.6498841,0.6688975,2
0.5093833,0.4443508,11
0.22502722,0.4325589,7
0.4174308,0.17347583,4
0.22502722,0.4325589,7
0.6394732,0.3957711,14
0.4174308,0.17347583,4
0.11301397,0.6027359,1
0.19381455,0.25502762,5
0.19381455,0.25502762,5
0.47045884,0.6565263,0
0.46504104,0.4204782,11
0.4902214,0.15165114,3
0.33077702,0.30770832,5
0.4979339,0.41783008,6
0.70221204,0.70346814,2
0.7962892,0.34717658,12
0.95210004,0.6500701,9
0.10522125,0.60789746,1
0.10522125,0.60789746,1
0.019992428,0.23442116,7
0.73920554,0.7075376,2
0.93778163,0.4554945,8
0.4339335,0.65958405,11
0.69479525,0.19935174,3
0.71169704,0.5372673,2
0.10522125,0.60789746,1
0.10522125,0.60789746,1
0.49379146,0.43959266,11
0.5093833,0.4443508,11
0.47758487,0.67407274,0
0.41491747,0.12692076,3
0.3320116,0.8190513,10
0.019992428,0.23442116,7
0.4150913,0.6395,0
0.61988634,0.49123096,14
0.27049533,0.3807326,7
0.6331755,0.24716565,3
0.7149533,0.38190645,0
0.27049533,0.3807326,7
0.6825638,0.69769937,2
0.24826643,0.3849354,7
0.62059224,0.46572515,12
0.86157966,0.1638073,4
0.74544,0.2252673,12
0.32675081,0.43582764,7
0.86157966,0.1638073,4
0.86157966,0.1638073,4
0.79497147,0.40143624,8
0.36785415,0.6639227,0
0.36785415,0.6639227,0
0.46433717,0.37576485,6
0.22502722,0.4325589,7
0.38811585,0.61224216,11
0.70782965,0.20599318,12
0.49802035,0.38739592,6
0.38556248,0.67551357,11
0.672174,0.7284587,2
0.47159898,0.96767783,0
0.10522125,0.60789746,1
0.9860801,0.461232,8
0.019992428,0.23442116,7
0.6375421,0.4389388,12
0.22790973,0.51864684,5
0.37783378,0.20246734,4
0.666276,0.34048188,0
0.044480562,0.58351976,1
0.092581384,0.5670385,1
0.43683174,0.9309474,0
0.46210444,0.8224879,10
0.6214978,0.6816161,2
0.15336241,0.63277,1
0.22502722,0.4325589,7
0.22502722,0.4325589,7
0.5552389,0.4731315,13
0.019992428,0.23442116,7
0.6348879,0.741023,2
0.6348879,0.741023,2
0.5026532,0.34322014,3
0.6734298,0.7199239,2
0.6734298,0.7199239,2
0.8151997,0.5440446,9
0.22502722,0.4325589,7
0.5177257,0.81621087,10
0.48056847,0.17981958,3
0.49379146,0.43959266,11
0.7619403,0.5309907,12
0.47045884,0.6565263,0
0.6904763,0.34501967,0
0.34953052,0.8706544,10
0.64584213,0.36481774,0
0.40578374,0.65070873,11
0.10522125,0.60789746,1
0.4577256,0.17783569,3
0.75767374,0.76333904,2
0.10522125,0.60789746,1
0.57216936,0.01904424,4
0.57216936,0.01904424,4
0.59111315,0.4118695,13
0.49379203,0.3690975,6
0.6348879,0.741023,2
0.5962828,0.4239493,13
0.6130251,0.64323735,2
0.10522125,0.60789746,1
0.47758487,0.67407274,0
0.38984254,0.3424792,6
0.418216,0.5754677,0
0.22502722,0.4325589,7
0.019992428,0.23442116,7
0.019992428,0.23442116,7
0.22502722,0.4325589,7
0.22502722,0.4325589,7
0.7619403,0.5309907,12
0.10522125,0.60789746,1
0.10522125,0.60789746,1
0.4174308,0.17347583,4
0.8074136,0.5294936,12
0.22502722,0.4325589,7
0.418216,0.5754677,0
0.10522125,0.60789746,1
0.7208969,0.69670105,2
0.9115591,0.3261737,12
0.10522125,0.60789746,1
0.10522125,0.60789746,1
0.7034116,0.11923581,4
0.22502722,0.4325589,7
0.4339335,0.65958405,11
0.4150913,0.6395,0
0.12184134,0.2651582,7
0.53200847,0.3819805,6
0.666276,0.34048188,0
0.7500413,0.48380682,12
0.10522125,0.60789746,1
0.49713516,0.41091403,6
0.48998645,0.37811452,6
0.86157966,0.1638073,4
0.019992428,0.23442116,7
0.4339335,0.65958405,11
0.36785415,0.6639227,0
0.10522125,0.60789746,1
0.72005785,0.727398,2
0.4339335,0.65958405,11
0.5784716,0.24673522,3
0.4339335,0.65958405,11
0.4174308,0.17347583,4
0.81725043,0.4348453,12
