x,y,z,labels
0.26597434,0.51727915,0.6845599,5
0.60954964,0.36769962,0.6914993,6
0.09036408,0.6381447,0.92712915,1
0.1190784,0.18987617,0.64340913,5
0.55966324,0.41269946,0.78643084,13
0.49633375,0.40022543,0.08284818,11
0.22502722,0.4325589,0.42827216,7
0.418216,0.5754677,0.54996365,0
0.80037624,0.66134393,0.46051076,2
0.551781,0.41806304,0.6223984,6
0.10522125,0.60789746,1.0,1
0.87868905,0.3370385,0.48549068,12
0.47758487,0.67407274,0.5443269,0
0.4150913,0.6395,0.53105,0
0.4150913,0.6395,0.53105,0
0.44272035,1.0,0.4061419,0
0.120695464,0.5963026,0.8086395,1
0.65931344,0.70876426,0.45770296,2
0.8729667,0.5871568,0.5780532,9
0.45567283,0.11128007,0.72530043,3
0.47758487,0.67407274,0.5443269,0
0.4339335,0.65958405,0.20915268,11
0.6498841,0.6688975,0.42642942,2
0.5093833,0.4443508,0.06204907,11
0.22502722,0.4325589,0.42827216,7
0.4174308,0.17347583,0.20595266,4
0.22502722,0.4325589,0.42827216,7
0.6394732,0.3957711,0.6610677,14
0.4174308,0.17347583,0.20595266,4
0.11301397,0.6027359,0.874389,1
0.19381455,0.25502762,0.6914929,5
0.19381455,0.25502762,0.6914929,5
0.47045884,0.6565263,0.43263564,0
0.46504104,0.4204782,0.052505173,11
0.4902214,0.15165114,0.53866976,3
0.33077702,0.30770832,0.8409043,5
0.4979339,0.41783008,0.5534907,6
0.70221204,0.70346814,0.49000725,2
0.7962892,0.34717658,0.36669257,12
0.95210004,0.6500701,0.5070738,9
0.10522125,0.60789746,1.0,1
0.10522125,0.60789746,1.0,1
0.019992428,0.23442116,0.4033079,7
0.73920554,0.7075376,0.4778851,2
0.93778163,0.4554945,0.5129609,8
0.4339335,0.65958405,0.20915268,11
0.69479525,0.19935174,0.690321,3
0.71169704,0.5372673,0.5175328,2
0.10522125,0.60789746,1.0,1
0.10522125,0.60789746,1.0,1
0.49379146,0.43959266,0.0,11
0.5093833,0.4443508,0.06204907,11
0.47758487,0.67407274,0.5443269,0
0.41491747,0.12692076,0.73641986,3
0.3320116,0.8190513,0.56959605,10
0.019992428,0.23442116,0.4033079,7
0.4150913,0.6395,0.53105,0
0.61988634,0.49123096,0.65806663,14
0.27049533,0.3807326,0.42798656,7
0.6331755,0.24716565,0.8386096,3
0.7149533,0.38190645,0.27828035,0
0.27049533,0.3807326,0.42798656,7
0.6825638,0.69769937,0.4568574,2
0.24826643,0.3849354,0.46331862,7
0.62059224,0.46572515,0.29427317,12
0.86157966,0.1638073,0.24476823,4
0.74544,0.2252673,0.48773023,12
0.32675081,0.43582764,0.35302427,7
0.86157966,0.1638073,0.24476823,4
0.86157966,0.1638073,0.24476823,4
0.79497147,0.40143624,0.62542397,8
0.36785415,0.6639227,0.4856174,0
0.36785415,0.6639227,0.4856174,0
0.46433717,0.37576485,0.7004978,6
0.22502722,0.4325589,0.42827216,7
0.38811585,0.61224216,0.20233758,11
0.70782965,0.20599318,0.49542502,12
0.49802035,0.38739592,0.5484907,6
0.38556248,0.67551357,0.8244126,11
0.672174,0.7284587,0.45991594,2
0.47159898,0.96767783,0.3827049,0
0.10522125,0.60789746,1.0,1
0.9860801,0.461232,0.5260647,8
0.019992428,0.23442116,0.4033079,7
0.6375421,0.4389388,0.46170378,12
0.22790973,0.51864684,0.7050787,5
0.37783378,0.20246734,0.2500912,4
0.666276,0.34048188,0.24054578,0
0.044480562,0.58351976,0.9817366,1
0.092581384,0.5670385,0.9530439,1
0.43683174,0.9309474,0.38781035,0
0.46210444,0.8224879,0.643018,10
0.6214978,0.6816161,0.78975207,2
0.15336241,0.63277,0.96033096,1
0.22502722,0.4325589,0.42827216,7
0.22502722,0.4325589,0.42827216,7
0.5552389,0.4731315,0.88359874,13
0.019992428,0.23442116,0.4033079,7
0.6348879,0.741023,0.4900939,2
0.6348879,0.741023,0.4900939,2
0.5026532,0.34322014,0.9362333,3
0.6734298,0.7199239,0.5532788,2
0.6734298,0.7199239,0.5532788,2
0.8151997,0.5440446,0.5955041,9
0.22502722,0.4325589,0.42827216,7
0.5177257,0.81621087,0.64818907,10
0.48056847,0.17981958,0.56932896,3
0.49379146,0.43959266,0.0,11
0.7619403,0.5309907,0.21480656,12
0.47045884,0.6565263,0.43263564,0
0.6904763,0.34501967,0.2014301,0
0.34953052,0.8706544,0.59964824,10
0.64584213,0.36481774,0.20791622,0
0.40578374,0.65070873,0.26356307,11
0.10522125,0.60789746,1.0,1
0.4577256,0.17783569,0.5321083,3
0.75767374,0.76333904,0.4742231,2
0.10522125,0.60789746,1.0,1
0.57216936,0.01904424,0.4097705,4
0.57216936,0.01904424,0.4097705,4
0.59111315,0.4118695,0.7603077,13
0.49379203,0.3690975,0.50508606,6
0.6348879,0.741023,0.4900939,2
0.5962828,0.4239493,0.8879975,13
0.6130251,0.64323735,0.7846599,2
0.10522125,0.60789746,1.0,1
0.47758487,0.67407274,0.5443269,0
0.38984254,0.3424792,0.7701753,6
0.418216,0.5754677,0.54996365,0
0.22502722,0.4325589,0.42827216,7
0.019992428,0.23442116,0.4033079,7
0.019992428,0.23442116,0.4033079,7
0.22502722,0.4325589,0.42827216,7
0.22502722,0.4325589,0.42827216,7
0.7619403,0.5309907,0.21480656,12
0.10522125,0.60789746,1.0,1
0.10522125,0.60789746,1.0,1
0.4174308,0.17347583,0.20595266,4
0.8074136,0.5294936,0.22861406,12
0.22502722,0.4325589,0.42827216,7
0.418216,0.5754677,0.54996365,0
0.10522125,0.60789746,1.0,1
0.7208969,0.69670105,0.39042586,2
0.9115591,0.3261737,0.45638946,12
0.10522125,0.60789746,1.0,1
0.10522125,0.60789746,1.0,1
0.7034116,0.11923581,0.3562579,4
0.22502722,0.4325589,0.42827216,7
0.4339335,0.65958405,0.20915268,11
0.4150913,0.6395,0.53105,0
0.12184134,0.2651582,0.29812473,7
0.53200847,0.3819805,0.55131686,6
0.666276,0.34048188,0.24054578,0
0.7500413,0.48380682,0.43028787,12
0.10522125,0.60789746,1.0,1
0.49713516,0.41091403,0.7782868,6
0.48998645,0.37811452,0.5593643,6
0.86157966,0.1638073,0.24476823,4
0.019992428,0.23442116,0.4033079,7
0.4339335,0.65958405,0.20915268,11
0.36785415,0.6639227,0.4856174,0
0.10522125,0.60789746,1.0,1
0.72005785,0.727398,0.5060156,2
0.4339335,0.65958405,0.20915268,11
0.5784716,0.24673522,0.7895239,3
0.4339335,0.65958405,0.20915268,11
0.4174308,0.17347583,0.20595266,4
0.81725043,0.4348453,0.4675736,12
0.5309586,0.024378145,0.45989707,4
0.3132321,0.3840686,0.50572395,7
0.65063846,0.014042276,0.46621972,4
0.4174308,0.17347583,0.20595266,4
0.3185066,0.4166982,0.65928805,6
0.65063846,0.014042276,0.46621972,4
0.36785415,0.6639227,0.4856174,0
0.450715,0.11874628,0.7650757,3
0.3431933,0.3667923,0.41611874,7
0.9731016,0.5974936,0.38790187,2
0.49745598,0.944641,0.41736135,0
0.6973052,0.23036681,0.45601884,12
0.49379146,0.43959266,0.0,11
0.47758487,0.67407274,0.5443269,0
0.4339335,0.65958405,0.20915268,11
0.41491747,0.12692076,0.73641986,3
0.47758487,0.67407274,0.5443269,0
0.31045216,0.36558655,0.8646704,5
0.47758487,0.67407274,0.5443269,0
0.50716466,0.19023354,0.534715,3
0.3431933,0.3667923,0.41611874,7
0.36785415,0.6639227,0.4856174,0
0.76214105,0.7106695,0.4458025,2
0.7844578,0.5646655,0.4605889,2
0.4339335,0.65958405,0.20915268,11
0.75767374,0.76333904,0.4742231,2
0.42343563,0.15450393,0.7678278,3
0.2622351,0.3201557,0.45686635,7
0.10522125,0.60789746,1.0,1
0.3431933,0.3667923,0.41611874,7
0.10522125,0.60789746,1.0,1
0.57530147,0.6845226,0.8037008,2
0.57530147,0.6845226,0.8037008,2
0.4174308,0.17347583,0.20595266,4
0.418216,0.5754677,0.54996365,0
0.85931444,0.36511552,0.39726382,12
0.418216,0.5754677,0.54996365,0
0.69479525,0.19935174,0.690321,3
0.64947426,0.32001764,0.20389286,0
0.6214978,0.6816161,0.78975207,2
0.6074014,0.5222604,0.26549593,11
0.4174308,0.17347583,0.20595266,4
0.48056847,0.17981958,0.56932896,3
0.49803135,0.5911938,0.4903502,0
0.8713173,0.4652121,0.66600364,9
0.41710404,0.57685226,0.4475356,0
0.4339335,0.65958405,0.20915268,11
0.4339335,0.65958405,0.20915268,11
0.22502722,0.4325589,0.42827216,7
0.3286341,0.80063665,0.64771986,10
0.49379146,0.43959266,0.0,11
0.22502722,0.4325589,0.42827216,7
0.73920554,0.7075376,0.4778851,2
0.41710404,0.57685226,0.4475356,0
0.82680565,0.6212775,0.73162794,9
0.49379146,0.43959266,0.0,11
0.93848634,0.55395293,0.4327822,2
0.34953052,0.8706544,0.59964824,10
0.49794555,0.3804927,0.70612675,6
0.717188,0.5951536,0.23668835,12
0.75767374,0.76333904,0.4742231,2
0.861377,0.33602616,0.39151227,12
0.11301397,0.6027359,0.874389,1
0.22502722,0.4325589,0.42827216,7
0.47045884,0.6565263,0.43263564,0
0.6214978,0.6816161,0.78975207,2
0.47045884,0.6565263,0.43263564,0
0.36785415,0.6639227,0.4856174,0
0.019992428,0.23442116,0.4033079,7
0.22502722,0.4325589,0.42827216,7
0.86298025,0.37680683,0.34592053,12
0.36785415,0.6639227,0.4856174,0
0.76057917,0.538482,0.5196684,2
0.49379146,0.43959266,0.0,11
0.10522125,0.60789746,1.0,1
0.7619403,0.5309907,0.21480656,12
0.99228853,0.5744576,0.39012578,2
0.73451114,0.21609166,0.5246373,12
0.41910434,0.23048982,0.23431015,4
0.6331755,0.24716565,0.8386096,3
0.94685054,0.6050858,0.37854835,2
0.41910434,0.23048982,0.23431015,4
0.49803135,0.5911938,0.4903502,0
0.660766,0.4473146,0.40143332,12
0.4150913,0.6395,0.53105,0
0.36785415,0.6639227,0.4856174,0
0.29503998,0.3301032,0.84989464,5
0.2973006,0.42072025,0.42692417,7
0.2973006,0.42072025,0.42692417,7
0.019992428,0.23442116,0.4033079,7
0.2973006,0.42072025,0.42692417,7
0.86157966,0.1638073,0.24476823,4
0.8074136,0.5294936,0.22861406,12
0.2973006,0.42072025,0.42692417,7
0.4339335,0.65958405,0.20915268,11
0.7619403,0.5309907,0.21480656,12
0.75767374,0.76333904,0.4742231,2
0.36785415,0.6639227,0.4856174,0
0.82476693,0.5376573,0.6418229,9
0.47758487,0.67407274,0.5443269,0
0.47758487,0.67407274,0.5443269,0
0.831046,0.55793077,0.7523655,9
0.2973006,0.42072025,0.42692417,7
0.6348879,0.741023,0.4900939,2
0.48481894,0.40401837,0.54184854,6
0.69479525,0.19935174,0.690321,3
0.4569242,0.61847496,0.16888797,11
0.41910434,0.23048982,0.23431015,4
0.2755224,0.4046875,0.39045447,7
0.44047672,0.63995796,0.4917828,0
0.8757113,0.38519287,0.36536977,12
0.72610754,0.6338821,0.44734874,2
0.2973006,0.42072025,0.42692417,7
0.7637939,0.5610115,0.24396788,12
0.5603909,0.5068151,0.27224198,11
0.44047672,0.63995796,0.4917828,0
0.11301397,0.6027359,0.874389,1
0.47159898,0.96767783,0.3827049,0
0.57530147,0.6845226,0.8037008,2
0.4339335,0.65958405,0.20915268,11
0.36785415,0.6639227,0.4856174,0
0.2755224,0.4046875,0.39045447,7
0.23420413,0.25185284,0.68510723,5
0.41910434,0.23048982,0.23431015,4
0.54073197,0.3725182,0.5741541,6
0.41910434,0.23048982,0.23431015,4
0.36785415,0.6639227,0.4856174,0
0.47758487,0.67407274,0.5443269,0
0.4768818,0.38259327,0.0312541,11
0.86157966,0.1638073,0.24476823,4
0.59178966,0.34131125,0.70289993,6
0.11301397,0.6027359,0.874389,1
0.47758487,0.67407274,0.5443269,0
0.47497368,0.20473963,0.5098027,3
0.48056847,0.17981958,0.56932896,3
0.41910434,0.23048982,0.23431015,4
0.35283569,0.81162155,0.65328294,10
0.7587542,0.38562095,0.50006807,12
0.4339335,0.65958405,0.20915268,11
0.6533675,0.4537516,0.4308753,12
0.36785415,0.6639227,0.4856174,0
0.5972817,0.046623826,0.44145772,4
0.4150913,0.6395,0.53105,0
0.2755224,0.4046875,0.39045447,7
0.60857254,0.6920382,0.82556707,2
0.47108996,0.6112957,0.23002362,11
0.19381455,0.25502762,0.6914929,5
0.64584213,0.36481774,0.20791622,0
0.11301397,0.6027359,0.874389,1
0.6533675,0.4537516,0.4308753,12
0.69146913,0.43008292,0.6577632,14
0.2973006,0.42072025,0.42692417,7
0.8012364,0.41784817,0.6177169,8
0.86157966,0.1638073,0.24476823,4
0.59233207,0.49533015,0.87396365,13
0.5191377,0.4025408,0.043066982,11
0.36785415,0.6639227,0.4856174,0
0.39081123,0.34072196,0.78422225,6
0.11301397,0.6027359,0.874389,1
0.6394559,0.3957871,0.6610552,14
0.42261818,0.19443895,0.26549315,4
0.89327985,0.37959865,0.5672535,8
0.42343563,0.15450393,0.7678278,3
0.5972817,0.046623826,0.44145772,4
0.4339335,0.65958405,0.20915268,11
0.73920554,0.7075376,0.4778851,2
0.36785415,0.6639227,0.4856174,0
0.11301397,0.6027359,0.874389,1
0.01866223,0.21278112,0.44243857,7
0.01866223,0.21278112,0.44243857,7
0.6204142,0.4977228,0.7107806,14
0.8725344,0.3861513,0.38726836,12
0.03933271,0.6160482,0.9817255,1
0.11444175,0.61990833,0.93792206,1
0.44047672,0.63995796,0.4917828,0
0.1190784,0.18987617,0.64340913,5
0.42343563,0.15450393,0.7678278,3
0.60366863,0.32186356,0.6757356,6
0.5853697,0.451618,0.6393173,14
0.6827511,0.46386847,0.6837189,14
0.6002904,0.46077883,0.8835155,13
0.072240636,0.63022846,0.9468439,1
0.36785415,0.6639227,0.4856174,0
0.76423866,0.5158801,0.2529677,12
0.6331755,0.24716565,0.8386096,3
0.41491747,0.12692076,0.73641986,3
0.46188673,0.18103477,0.25273824,4
0.5904122,0.70783734,0.77667034,2
0.019992428,0.23442116,0.4033079,7
0.092581384,0.5670385,0.9530439,1
0.6002904,0.46077883,0.8835155,13
0.79669875,0.54069114,0.26960987,12
0.418216,0.5754677,0.54996365,0
0.24826643,0.3849354,0.46331862,7
0.5363209,0.4813955,0.88054,13
0.42261818,0.19443895,0.26549315,4
0.6375421,0.4389388,0.46170378,12
0.28059977,0.40264633,0.46255776,7
0.47159898,0.96767783,0.3827049,0
0.019992428,0.23442116,0.4033079,7
0.20791043,0.2342463,0.6639344,5
0.32675081,0.43582764,0.35302427,7
0.29503998,0.3301032,0.84989464,5
0.6749506,0.7956397,0.51687574,2
0.6968332,0.51106536,0.5471507,2
0.32675081,0.43582764,0.35302427,7
0.42261818,0.19443895,0.26549315,4
0.6904763,0.34501967,0.2014301,0
0.6904763,0.34501967,0.2014301,0
0.32675081,0.43582764,0.35302427,7
0.6498841,0.6688975,0.42642942,2
0.42261818,0.19443895,0.26549315,4
0.47159898,0.96767783,0.3827049,0
0.61710566,0.7227565,0.42839947,2
0.35497996,0.4510968,0.4586939,7
0.41910434,0.23048982,0.23431015,4
0.88503647,0.3463129,0.35244554,12
0.41910434,0.23048982,0.23431015,4
0.44847757,0.9583378,0.42537495,0
0.42034763,0.6136702,0.16957378,11
0.70646155,0.56763136,0.5019255,2
0.41491747,0.12692076,0.73641986,3
0.22920625,0.55512196,0.72226924,5
0.36785415,0.6639227,0.4856174,0
0.61685646,0.4589112,0.42418066,12
0.10522125,0.60789746,1.0,1
0.41491747,0.12692076,0.73641986,3
0.3415549,0.82513684,0.5745826,10
0.7619403,0.5309907,0.21480656,12
0.4577256,0.17783569,0.5321083,3
0.626234,0.42649418,0.43134978,12
0.5974405,0.31602237,0.67985326,6
0.26756075,0.34566033,0.35677394,7
0.10522125,0.60789746,1.0,1
0.46698394,0.21001862,0.23422909,4
0.7250306,0.52967334,0.566107,9
0.01866223,0.21278112,0.44243857,7
0.36837074,0.6472538,0.20008428,11
0.10522125,0.60789746,1.0,1
0.37080345,0.70318395,0.8224426,11
0.5154075,0.38987073,0.5694986,6
0.7034116,0.11923581,0.3562579,4
0.10522125,0.60789746,1.0,1
0.6904763,0.34501967,0.2014301,0
0.47758487,0.67407274,0.5443269,0
0.60859203,0.31215796,0.6828436,6
0.40524325,0.5852646,0.17949429,11
0.22502722,0.4325589,0.42827216,7
0.10522125,0.60789746,1.0,1
0.6348879,0.741023,0.4900939,2
0.418216,0.5754677,0.54996365,0
0.5093833,0.4443508,0.06204907,11
0.10522125,0.60789746,1.0,1
0.10522125,0.60789746,1.0,1
0.91632855,0.5739254,0.4292808,2
0.58374596,0.32671323,0.9092224,3
0.01866223,0.21278112,0.44243857,7
0.41910434,0.23048982,0.23431015,4
0.6277087,0.3911619,0.68105054,14
0.4069169,0.5272938,0.27394456,11
0.38556248,0.67551357,0.8244126,11
0.47159898,0.96767783,0.3827049,0
0.78194976,0.59431225,0.22480829,12
0.41910434,0.23048982,0.23431015,4
0.5654942,0.51470107,0.335772,0
0.38556248,0.67551357,0.8244126,11
0.41910434,0.23048982,0.23431015,4
0.10522125,0.60789746,1.0,1
0.10522125,0.60789746,1.0,1
0.56324786,0.47081468,0.2258324,11
0.22502722,0.4325589,0.42827216,7
0.22502722,0.4325589,0.42827216,7
0.4150913,0.6395,0.53105,0
0.10522125,0.60789746,1.0,1
0.78642005,0.43620065,0.61598253,8
0.10522125,0.60789746,1.0,1
0.74544,0.2252673,0.48773023,12
0.41910434,0.23048982,0.23431015,4
0.10522125,0.60789746,1.0,1
0.22502722,0.4325589,0.42827216,7
0.22502722,0.4325589,0.42827216,7
0.7129458,0.46756044,0.6486551,14
0.41910434,0.23048982,0.23431015,4
0.10522125,0.60789746,1.0,1
0.52690226,0.4637918,0.8645888,13
0.6851404,0.37997353,0.2282699,0
0.8571874,0.58798563,0.59622747,9
0.22502722,0.4325589,0.42827216,7
0.41910434,0.23048982,0.23431015,4
0.38556248,0.67551357,0.8244126,11
0.72923446,0.70658493,0.43481046,2
0.10522125,0.60789746,1.0,1
0.40645018,0.608656,0.49645472,0
0.77537197,0.70315033,0.5566885,2
0.4339335,0.65958405,0.20915268,11
0.57324284,0.33348486,0.644486,6
0.36785415,0.6639227,0.4856174,0
0.75767374,0.76333904,0.4742231,2
0.57530147,0.6845226,0.8037008,2
0.9629132,0.4475506,0.49248758,8
0.37651587,0.65545255,0.59189796,0
0.10522125,0.60789746,1.0,1
0.6214978,0.6816161,0.78975207,2
0.0633095,0.22994363,0.4289347,7
0.38811585,0.61224216,0.20233758,11
0.41910434,0.23048982,0.23431015,4
0.86496747,0.5252633,0.73837644,9
0.10522125,0.60789746,1.0,1
0.0633095,0.22994363,0.4289347,7
0.46504104,0.4204782,0.052505173,11
0.36785415,0.6639227,0.4856174,0
0.22502722,0.4325589,0.42827216,7
0.36785415,0.6639227,0.4856174,0
0.64584213,0.36481774,0.20791622,0
0.41910434,0.23048982,0.23431015,4
0.23180497,0.5228578,0.74430114,5
0.4339335,0.65958405,0.20915268,11
0.4339335,0.65958405,0.20915268,11
0.4339335,0.65958405,0.20915268,11
0.41910434,0.23048982,0.23431015,4
0.311238,0.32469073,0.81297445,5
0.36785415,0.6639227,0.4856174,0
0.67609155,0.65084237,0.5093293,2
0.67609155,0.65084237,0.5093293,2
0.36785415,0.6639227,0.4856174,0
0.83901936,0.3774894,0.49369332,12
0.10522125,0.60789746,1.0,1
0.352863,0.85408,0.61591876,10
0.8074136,0.5294936,0.22861406,12
0.9462603,0.58137894,0.39529407,2
0.60977113,0.44542083,0.45207047,12
0.36785415,0.6639227,0.4856174,0
0.22502722,0.4325589,0.42827216,7
0.36785415,0.6639227,0.4856174,0
0.60380775,0.32767686,0.90901965,3
0.63887805,0.43775356,0.40074039,12
0.4339335,0.65958405,0.20915268,11
0.41491747,0.12692076,0.73641986,3
0.0633095,0.22994363,0.4289347,7
0.10522125,0.60789746,1.0,1
0.6904763,0.34501967,0.2014301,0
0.46976972,0.3545718,0.62187004,6
0.8074136,0.5294936,0.22861406,12
0.8678078,0.5815789,0.57828134,9
0.79581046,0.63019186,0.7278065,9
0.22736908,0.31267747,0.6911213,5
0.6285592,0.48541138,0.6979899,14
0.22502722,0.4325589,0.42827216,7
0.41910434,0.23048982,0.23431015,4
0.44847757,0.9583378,0.42537495,0
0.95665187,0.6710721,0.51561815,0
0.22502722,0.4325589,0.42827216,7
0.49379146,0.43959266,0.0,11
0.49379146,0.43959266,0.0,11
0.86157966,0.1638073,0.24476823,4
0.10522125,0.60789746,1.0,1
0.9848708,0.5831441,0.44829097,2
0.667629,0.7019418,0.48277956,2
0.4339335,0.65958405,0.20915268,11
0.29503998,0.3301032,0.84989464,5
0.10522125,0.60789746,1.0,1
0.22502722,0.4325589,0.42827216,7
0.44847757,0.9583378,0.42537495,0
0.0633095,0.22994363,0.4289347,7
0.49379146,0.43959266,0.0,11
0.58492357,0.66954434,0.768633,2
0.7344815,0.73502666,0.5566325,2
0.6338185,0.42826855,0.8603767,13
0.86157966,0.1638073,0.24476823,4
0.40545252,0.11708104,0.775971,3
0.64849174,0.40151983,0.43547422,12
0.46210444,0.8224879,0.643018,10
0.5844218,0.38287416,0.64711684,6
0.79669875,0.54069114,0.26960987,12
0.44847757,0.9583378,0.42537495,0
0.81784296,0.5696838,0.24052039,12
0.70327896,0.41808626,0.6327369,14
0.10522125,0.60789746,1.0,1
0.8809129,0.20237473,0.25822586,4
0.22502722,0.4325589,0.42827216,7
0.38556248,0.67551357,0.8244126,11
0.22502722,0.4325589,0.42827216,7
0.22502722,0.4325589,0.42827216,7
0.41910434,0.23048982,0.23431015,4
0.4030983,0.69919544,0.81282794,11
0.10522125,0.60789746,1.0,1
0.38950294,0.8481506,0.5855104,10
0.0633095,0.22994363,0.4289347,7
0.10522125,0.60789746,1.0,1
0.22502722,0.4325589,0.42827216,7
0.41491747,0.12692076,0.73641986,3
0.8401291,0.6274923,0.68526274,9
0.4174308,0.17347583,0.20595266,4
0.22502722,0.4325589,0.42827216,7
0.38526344,0.24606234,0.29347572,4
0.7619403,0.5309907,0.21480656,12
0.85730666,0.563318,0.67705095,9
0.4339335,0.65958405,0.20915268,11
0.86157966,0.1638073,0.24476823,4
0.9540038,0.43934742,0.5053462,8
0.46232212,0.8363509,0.6622147,10
0.7143975,0.52125686,0.53213567,2
0.22502722,0.4325589,0.42827216,7
0.10522125,0.60789746,1.0,1
0.57216936,0.01904424,0.4097705,4
0.56696194,0.23214395,0.63108015,3
0.47159898,0.96767783,0.3827049,0
0.36785415,0.6639227,0.4856174,0
0.10522125,0.60789746,1.0,1
0.10522125,0.60789746,1.0,1
0.311238,0.32469073,0.81297445,5
0.4339335,0.65958405,0.20915268,11
0.10522125,0.60789746,1.0,1
0.47159898,0.96767783,0.3827049,0
0.43597555,0.59637636,0.20574094,11
0.418216,0.5754677,0.54996365,0
0.10522125,0.60789746,1.0,1
0.6449029,0.69193965,0.7182411,2
0.8379298,0.42481592,0.62689006,8
0.36785415,0.6639227,0.4856174,0
0.44047672,0.63995796,0.4917828,0
0.4174308,0.17347583,0.20595266,4
0.83211815,0.48168418,0.5415456,8
0.10522125,0.60789746,1.0,1
0.7136177,0.74833536,0.43865824,2
0.10522125,0.60789746,1.0,1
0.7762864,0.69825846,0.6016343,2
0.22502722,0.4325589,0.42827216,7
0.0633095,0.22994363,0.4289347,7
0.544483,0.45840666,0.87334776,13
0.74563366,0.6720394,0.48429027,2
0.4174308,0.17347583,0.20595266,4
0.35603538,0.3610627,0.3049492,7
0.418216,0.5754677,0.54996365,0
0.6057709,0.23318204,0.8529113,3
0.57216936,0.01904424,0.4097705,4
0.22502722,0.4325589,0.42827216,7
0.10522125,0.60789746,1.0,1
0.10522125,0.60789746,1.0,1
0.5191377,0.4025408,0.043066982,11
0.39853278,0.61934346,0.24391454,11
0.22502722,0.4325589,0.42827216,7
0.5629853,0.4710143,0.2258673,11
0.39853278,0.61934346,0.24391454,11
0.4150913,0.6395,0.53105,0
0.57216936,0.01904424,0.4097705,4
