entname,idom_num
e915218f1019554d561deb75d372bb46,5
277a6642b81a79a2a4136efe1bbdbafe,2
d83764e08d463dc91b56c4d883afdc52,3
6b717b7b488b72550322ee114d30ffb0,1
057996258bbe06097475b660f6671788,1
ec39da08b4b0291c1f743201868f3126,2
d5d8bca736657eb666598b3832af810b,5
6a046375284774883c83e0278adbdad1,1
005f80a998cdd8b2fa8145cdf0135d21,1
90b98ff83cbf6d30428ca5a3d477f38d,8
59748d09a02d8cfde2d86831f0c8f896,3
2d45c26102eb2f4dd506a9a3da2f01e8,2
ca40b8cda9f5d31240707404bd753ca1,1
241af2bdc785b5f1bc27da64759080b0,5
aea25bbf8295f693f7000ad5c982a1a7,1
b860fa623cf4907ef227d29dd121dc0d,1
aac5e29f303c24b14e4c5f00c32c888c,5
3cb0a17d9672ca29110136c3b1e8bc86,4
5f4616237aeb6abd14b7513ab6f98af4,3
74d9d04a5b89c033319c32453f309356,3
1f1dbb02ac621fd9bee011ca7680a242,2
cf29f02b7b5da17e47fbd3df43cb0ea0,6
9cf829023c29e5b628089e656a23735b,1
3e8eb0582cb26634386020ea168d1a74,4
c094ae0c0469aa9bc089685361e5eb24,5
4a66085061f8356714b083bbea617bca,1
9088f76033189e3e6239ee52727b5368,1
33d3e10ba2568d934ac9cc2d034c7a55,4
eddc1d877498e733e4c4f552495fab81,5
30198d2c247aeba1dd91b7a34eeb2978,5
9af921405109c88c080a866b756ebeb5,1
c83f9a43a976fdb1df5c10d0b439f6ba,1
e7c9c784c0197ef9dc73111bce65ac65,3
0d7429bf2cf9d2fecb1e5bde454abcdc,1
f9a493d148329ae3178a11828ff8d982,1
82e111eb6e4321da5b64558562cca356,5
2e6de5627cd95df4a9b0385412ecc4da,4
d1d7799c2ca1ebbc8a7f72dad302733c,5
e5b70ee339932f5405ed13e85e2840c7,5
026a260bcf1e7492ee257ff56e5362d1,1
7e0c320b016744214209e195b120251a,5
8cc56fdc71f4a7f70672e8b83cb73576,3
8788c733d899b30fb5d94346665ddab7,5
4095c95678366ee766faf7ab45aa8206,3
9ad3118a688f20583bab1820c7bf9254,5
a7b2eecc79e3fa19ee69a5d56da9d9b7,1
88c71ee08a160ce97a66f1b669d94cb8,5
d27483929c1cf565ebd55c5742beb75a,4
5b371d64c2e2dc86dc27308c7bcd050e,1
959484e462e574ab4c3d21fb31a7ae7b,1
bec43cb38b455c3d2611e8262d1e4789,4
4f7cdab198cf5b36ea0f813b2731f80a,4
8ed44533f8927cdbcaba8d13f54acf22,1
39c92803d463e981f169de2f95178e8b,1
f6ecb035139a32aba44308a890819ff6,2
7f4833a0e947ad65107081b649471f2c,5
877b7403034b64feea979069380e9675,5
0c91661e71f277a1de75327303835641,2
be341e482ca97a452ac3e7b52a532f27,2
861f55b28d78b9dde5b3666f6f18995c,4
91a6edba15086e4181da3e4db89fdcab,1
4e4331364ff0055f73e5e9eb2c8c8345,6
42bd572064f7c9227cfe3e0cf0cf1d5e,5
9d990ad8e89b7ffc4c51a5c66160f590,2
ae11a57a55fc409f7c24a55f8057e244,2
b4a781c6a7b5c841a718081ef474dce0,1
fc4f02570143220ce3cf4c76387be2f9,1
d9722ddc80420e0c8263866256cdcf79,4
294e3e67ad1a3b40e64e4dcf8b570db4,2
a912a02dc9315ac26e4a7af42909ba61,2
37b65cf41253ecbf79f160512e1eb0ed,1
aa8cb7b98462b8357deacd2ce92d6447,3
4a258aad6f18ef3200737ee99666679e,5
21385e8b2d0749cedf4afbcca8ea9b85,5
d6d85f25e632619b3592075753f7993e,2
9b75188dc9b127753d493120b072ec99,1
c18380830499c6b70f5437e6ec5e7db9,1
b10358e0f466504aaaa8c47d5aaaf8ea,5
df804e81911a1fb906e85210483b47bb,5
bc90e90eb9f6e9e1d8fa17d51df66805,1
b597bd5bf6ed0fcc3fe443649309741e,1
b34d317a1d242a4b5bc4dea2f503249c,1
b3f75bfa14de3145a31007b4a16ae1c2,2
aeb878c63971bbde8384fec54e770ad3,3
f90f0b55e59cd8536b016d99ad6f8f93,1
a77bb36d86f811c394bede2ca1b316f7,3
b7aaa0e724ed9ec580c5eafdf7a703c1,1
76b5eaf91833ee73fc82362ab167e11d,1
e5959d9bb3547b38a7251897911e052a,5
f8ad6efea46244b010e88b2f25ab527d,2
8d839a8056ba0b8e6220cf4c6e43bb3a,3
f402465280c0f51dfa5605df84692687,3
461b861d228c030d6a75bb7c3824fb00,7
643586d333288a283091ccd660ea4343,1
3a85ac49ba883c08c90fe693c0daf42a,3
dcadf1b71b9d5b543b6d499730a8df5b,2
16dbab17d10a161bf32102a72070371b,5
e4e8335c9bb7a19d0305da70a8038332,1
ef3cc82731c99751f2c331d3fb0ef5a4,1
8f402a7a636f727b6fb4758866a00ee3,1
f2f724e4fd180c47a27405c3b1d7c68c,2
f511c1bac71fd6bec1d8b9dbdeede5cd,3
