entname,taxunpaidnum
60c4f052e3bf14bf08fe745586f39f64,318720.0
f9cf0d4a03fffa2107b4185b8bddb409,4200.0
644e60b432b1e93592f2dd19e231af10,52271.0
5ef1b34751b2a729dd4fec4e08351c9f,"48,151.71"
779654672e292ba6805b455a126b8d9d,3000.0
2cbcacb0cdf2db39279a077ab8299646,548.24
95c8b0904a33aca3a26e494299818b9e,790130.73
376d44d6a24443487b47aa8e5960e0ef,74439.8
0cb597f241e95f83b98fdccb69d34974,726.09
33abbdc116101eebe52ac81451f4e94f,104.68
91b2bc6d85201358072f80e0321d0277,831703.44
8ea03f17d6e35cc7d159c7d8cc8e8c1c,"46,654.59"
3f494f58436b0d036fbd9cebb6d9dc4a,23567.54
4f89786a85f832ebc91b5cbf7992e625,1638588.18
5a1ad1cf83b1dd5db29d34bb1f906b46,1125.0
f7660ef817f7c4be5cfabd8fad5410f9,836175.94
5da3b32cfdb021f5ab1aaf77a9e67a86,154921.35
30b85d5045cbaec5403ad8018f9a8046,169575.7
3a8155af8efe8ba3476642b529a90aee,794838.49
27e87b719cf62f1f1dcb7aac4fd3ba79,46626.49
c4fcebd7f1b8e5722cca8c903b54cd6b,134213.75
2bd482461b9eb37b2fd542525e156ef9,9822.22
d07c13f96ed945c454a6eb7899ffda05,1000.0
f45b51ec9d4850940262391cbcb5a766,68764.74
b5b4a9a5a73ee44ddff75b127229f56c,6218.77
141abd757b8ec156f06c74571d7312e4,5600.0
2401263cce8f1149aaf5548470016bf0,647625.87
655606bca0d91b6ef21cfd50a64a52f6,40849.4
4ae5bdfe61fad539910536713b88c313,"5,211.20"
21c15a348fb7e0aed3bb66736f5a4cf4,1001.13
49a1547f765122227ce53c65bdf42279,"39,096.00"
d47496981e7862da3aeb05fd144a8dff,249451.51
05fad70ae986382c0f595d83ab3f93a5,555186.15
f268cc5a74e7e7d502a9622070f2677d,"1,569.23"
40bbb82e6958911cca1db1366990ad6e,5678.33
411ab7f3a94dd30cf832df660a4359e8,25.00
5dbc84a261d282e0b07b296c0d218cb4,842672.32
d06f209dbf6701c260396e41af8ec493,2486.25
3598526191e42babd8527f9ebe27ad40,12.96
77403a9ad8d0591a16bca4935c5599b9,5.83
0a684240142a2143f7f11362830c743a,153253.75
39a0c0c133d48b13162277cfd4c16ce4,120.48
4ca8e4bd9f45b5ca3a82a6b8607231cf,4392.58
3e2b63db2a34727f0e784e2ab645f780,"847,534.80"
e215cea06509704a8e7b25b3558b3dda,765.21
09ce2fef1db32be880112905225db7f5,"4,382.46"
0fef2e587390ecdaf5c8d5946070051a,26327.04
3568704699c40fbfae84ca7b40b0739d,10.0
bd657c27e195fa27224dbbc484a19120,178.03
444898214f3763fb877b9b5e10caf807,7445.04
a2b67523ec2630bb86b5d6d6142c06c7,71.51
18f1e159cebb1121d2ba2cd628daf756,408232.95
da881e6286935c55d4bb1ec2c8c8b85f,27991.45
ee9931a7f910c207d3682f24ed06ac05,122120.28
e618ab4480fbbaf221870bea3c048734,354245.61
6bd25110b5454265cd843e1644c06dac,750.00
6ead820c40d016d706b3591f64ed7885,1044.32
04b650121b7521c72f620f3a6e74a265,52.26
901ff39e13533c9f27513b24c7e8fa3c,17241.0
c1630f4dde2c0ff46e3d045abc867012,2854.37
223dda73c01b673d20b16f5717fc8b09,2079.19
f7f199b0a4a6d5e729a814d49d250496,1022314.8
fcf0d8925cd9629c26b74f65877d4fb4,2112.67
7969f765721762d81975afe6b37bdf3a,1075.72
9ec67d343a6f4f0ed8b3526782204bb9,822115.31
1e9409773224cc546a0276f0da5a6ae8,367355.33
