remark,dataflag,alttime,altitem,entname,cxstatus,altdate,openo
,核准通过,1.0,经营范围变更,5368065c6f5d4d8c48059a09e762e424,变更,1422547200000.0,37012620150130000039
1,核准通过,1.0,县(市/区),5cfc54eb12aaca7287e93bee75a46459,,1482163200000.0,37012721612150076
field049,核准通过,3.0,注册资本(金)变更,a5563638966869bb94587756f9c43ba6,变更,1121616000000.0,37000010000334382
1,核准通过,1.0,联络员信息,b10f9983315d00532b0ebd513cdcfea7,,1460390400000.0,37011321603240013
1,核准通过,1.0,经理备案,337a38cf6e6d8cf9e29b4dfa5a90da23,,1473177600000.0,37010221609060081
,核准通过,3.0,经营期限(营业期限)变更,96e8263fe6f0866bc6b175e91df9d4b8,变更,1158803458000.0,37012711072
,1,2.0,一般经营项目变更,b65c4b3673534daf8cafbcf68ce80f54,1,1378742400000.0,WB370102130906000019
,核准通过,0.0,经理备案,24dc0d2f29cf43bc5dadef3ca8a16efe,变更,1382371200000.0,WB370103131012000016
1,核准通过,1.0,联系电话变更,f5113609b10142fe4d9b7ed44ce04eb1,变更,1536768000000.0,0f160165c775a1176343
,核准通过,2.0,投资人(股权)变更,d0be7e3b1b15128fb21b1f0d74554e64,变更,1347897600000.0,37010320120918000057
1,1,1.0,省,9db770aecfde39ceb8cb15da1970a810,1,1440518400000.0,37010321508240034
1,核准通过,1.0,市,71ec9c8c7b6f4b9d9a84c26f894259ce,,1462291200000.0,37011221604110046
1,1,1.0,住所变更,866a38740c33ea996ed9c628e3c73e94,1,1467561600000.0,175801559b1f8f2459a1
,核准通过,0.0,经理备案,a2ccca6577428ebd6ae450e6b4d8a94f,变更,1403107200000.0,WB370105140619000005
,1,0.0,换照,e0bfebe96002ffaae8ea7ec8d4397bab,1,1418745600000.0,37011220141217000074
1,核准通过,1.0,监事备案,d10b5b7d337ad9e76318b4b29c8d3a33,变更,1433088000000.0,37010421505180015
1,1,1.0,县(市/区),7205512dc32d2e5baca363aa104f7012,,1521561600000.0,37012721803090046
1,核准通过,1.0,投资人(股权)变更,09ff45379e8df86b2b706683daec5dfe,,1490630400000.0,37011221612060018
1,1,1.0,经营范围变更,63951d39275e726671977ab0e8de95da,,1517241600000.0,37011221801220107
,1,7.0,其他变更(邮政编码),2a16c85273dfd0b83821f94aa0058a1a,1,1167463836000.0,20354
,核准通过,0.0,换照,bc2c493202c0383cd9351e530f87224e,变更,1336924800000.0,37010320120514000029
,核准通过,0.0,经理备案,e66e4e5759104ca944693c57e7f1d28c,变更,1365523200000.0,WB370103130409000005
,核准通过,1.0,投资人(股权)变更,73d01a1f787021c3a2a8be925a45527b,变更,1416758400000.0,WB370125141109000007
,核准通过,10.0,董事备案,f2a590966cc20624051f7f5400851217,变更,1433779200000.0,37012721505280025
1,1,1.0,清算组负责人电话,40bf81e89a6687122fb1efa8cc91f9b5,1,1528646400000.0,75180163c97f5a710204
,1,0.0,换照,84ab0c46f87fbb13ae66d862c11302a1,1,1421251200000.0,37012720150115000011
,1,1.0,经营范围变更,f45c374706bc74a428e26304bfbafab7,1,1504454400000.0,37018121708150042
,核准通过,3.0,登记机关变更,d962848aab3afeb291515295254cc049,变更,1292637494000.0,37010020101218000220
,核准通过,0.0,经理备案,03c440ea98501bc4ebd0a2906fc08554,变更,1344960000000.0,37010020120815000011
,1,14.0,许可经营项目变更,b7514da68f53ee0fb92750b36cdb6683,1,1274025600000.0,37010420100517000031
,1,1.0,经营范围变更,e82a6b15c8fd636065aeb9df97824634,1,1414512000000.0,37011320141029000014
