regcap,empnum,estdate,candate,revdate,entstatus,opto,enttype,entcat,industryphy,entname,regcapcur,industryco,opfrom
300.0,2.0,1480000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,制造业,bbd471327fff750de13ec4587b625e7a,,,1480000000000.0
51.0,8.0,1310000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,交通运输、仓储和邮政业,0b161c3db8cdbcf924611d4b4ced688f,,,1310000000000.0
100.0,3.0,1470000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,科学研究和技术服务业,c0e7815a3d60af828c80b07d2b928985,,  其他科技推广和应用服务业,1470000000000.0
15.0,3.0,1470000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,租赁和商务服务业,3f87f8a84ac99efba1901bc2cd28109d,,,1470000000000.0
300.0,8.0,1040000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,ba80cab7e067b20601e86e214828d577,,    其他未列明批发业,1040000000000.0
30.0,4.0,1250000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,租赁和商务服务业,11624eb0ab9753dcbec4f2411f22c63b,,,1250000000000.0
500.0,4.0,1230000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,建筑业,af0c7ac209d576cf050163d83efb2818,,  其他未列明建筑业,1230000000000.0
100.0,8.0,1160000000000.0,,1530000000000.0,吊销企业,1350000000000.0,有限责任公司(自然人投资或控股),私营企业,批发和零售业,fdba092c77b2a45cbe69764db394c355,,    建材批发  ,1160000000000.0
100.0,6.0,1410000000000.0,,,在营（开业）企业,2990000000000.0,有限责任公司(自然人独资),私营企业,文化、体育和娱乐业,675a11e8f569ca9b0d5db07dfe65f7cf,,,1410000000000.0
301.0,8.0,1460000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,租赁和商务服务业,00d61c07e48c8dbbc76ba57afe24b864,,    其他旅行社相关服务,1460000000000.0
50.0,8.0,988000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,批发和零售业,3f209de1ed85f4cf7a644b0565b4bb2e,,,988000000000.0
210.0,5.0,1430000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,建筑业,de7f72b7c66d27c39f7b3918f8bb8dca,,,1430000000000.0
300.0,5.0,1470000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,18704c6a6aa532df17bee59e7278b6fd,,    百货零售,1470000000000.0
51.0,2.0,1240000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,建筑业,33d3ff1052df8ce748a264d4f7f45241,,,1240000000000.0
501.0,3.0,1390000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,科学研究和技术服务业,b76513084a83ee02a991294e84be409d,,  其他科技推广和应用服务业,1390000000000.0
100.0,3.0,1480000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,批发和零售业,f14d392b041512917669952e953e1317,,    汽车批发,1480000000000.0
560.0,5.0,1460000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,科学研究和技术服务业,1847a62753d484c0d791805df64388f7,,  其他科技推广和应用服务业,1460000000000.0
10.0,5.0,1400000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,信息传输、软件和信息技术服务业,5c5abc6c25f2b8830d7edf202f8e8959,,,1400000000000.0
100.0,5.0,1440000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,科学研究和技术服务业,6d4850fcc12eaad89c251a7d68999dc2,,  自然科学研究和试验发展,1440000000000.0
500.0,2.0,1400000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,建筑业,effb4ae1cd5ee5f1d829a19af1a35bfa,,,1400000000000.0
500.0,2.0,1480000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,c270340d82674f13def45c87b4a49103,,    五金零售,1480000000000.0
500.0,2.0,1420000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,信息传输、软件和信息技术服务业,ef3667681f0d3884be2064e34fad02d1,,    其他未列明信息技术服务业,1420000000000.0
150.0,4.0,1350000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,租赁和商务服务业,91ab71906982df5642fbe2b8a3fd9094,,    其他未列明商务服务业,1350000000000.0
10.0,6.0,1410000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,信息传输、软件和信息技术服务业,4a956472677e6315418e52f1b70ab322,,,1410000000000.0
50.0,8.0,1200000000000.0,,1530000000000.0,吊销企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,3d4175bbd9aba4849466cf1d332a7c2f,,    饲料批发,1200000000000.0
20.0,3.0,1350000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,租赁和商务服务业,b26a82fb04d28872ec9ad23bc1869588,,    其他未列明商务服务业,1350000000000.0
10.0,3.0,1350000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,租赁和商务服务业,30491e5dafa6ef0b897e81883b15ed63,,,1350000000000.0
300.0,8.0,1180000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,b8bd84593ddab7e4c841494c6387fa65,,    中药批发,1180000000000.0
510.0,5.0,1330000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,批发和零售业,6fd79316a68ca0c59c0d1b3fb1a2581a,,    摩托车及零配件批发,1330000000000.0
300.0,2.0,1470000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,租赁和商务服务业,82b5e63589fa2a6e832d38300eb7affb,,,1470000000000.0
300.0,5.0,1440000000000.0,,,在营（开业）企业,,有限责任公司(自然人独资),私营企业,信息传输、软件和信息技术服务业,822de796bb9f717eeada283b249fd890,,  互联网接入及相关服务,1440000000000.0
500.0,8.0,1210000000000.0,,,在营（开业）企业,,有限责任公司(自然人投资或控股),私营企业,建筑业,711a72b3cf9c90b86e4f48af5f6defb4,,,1210000000000.0
