entname,branchnum
ba25607facb57b17db8464cb635e88d3,1
b1dcb8d316ea4a21a2b1cb3ad7891488,1
40a0d0569448d79c100fe752574368e6,1
e33db8895fdb599879919699076972d5,1
00667ae48fe9813296933ac72d3fdf11,1
71e76b58200523658ffd4dd50f12380f,1
bd6e1b34b42b2a924a8a6291c84fe716,1
b5c278e59873586e08beedef9d4da2ae,1
ddcab76eaad37982bd3965454c443744,1
b1f3b279352af855265fb1341a467f4c,2
f94079355cbea96de52311b07b523023,1
48ad8bf20014e25ece62385da6fd8778,1
1c0e2fa91882286ae7f37f692504fd4b,2
1000731c112505169dfa507a6abbc3d7,1
839015d58ff0000683f1462d263aecf3,1
cd52ddb35605219309a184082ff24eae,1
dd32c153b7db4c35d839c16a20530ea7,3
68e83c87a54a48f0f52f65f2c0198dd4,1
09b07f273dd939062e5c8609b0ea67d5,2
c0d25cc17ccefc0456cf8b2531ce461b,1
d337ac485302b72213d738855b0f7a19,1
1e533ec1c8cb2887014c9af0829a3e4d,1
ff07d2872fd8b5795a681c9fa0fdebab,1
4820d95f093e385b86c81156f7c583f9,6
2582c084cf237fa631660d287df59d72,1
85546affa78d8eb60c2d9aa527746871,1
d28d6793d58cbe24e43b0da23e7efb5f,2
ce3265a93bf1585b1ed2199278033348,4
2bc1509b8d9036908c3114757bb50166,6
7a63d10192293c9e2e9f2c5c4e8634a3,2
72e4e47a1b1c4b976682d841fc6d6f21,1
f92b859176b46d0e4c23224d2f0d40a2,1
140758ae3c374773ac638b3da59290fa,1
eb3bed5e7aa9d11fba98a2928f98c6f5,1
b4eea4769bb2aa77c873f8d212685c01,2
aa9d78868c14ff6f3d23e787b0cc3e4e,2
232282c5fc780827395c529b56eb0f79,2
265c7a909a236d512e1372de1f65e351,1
1df4d13427b9b1b35621c75edca29320,4
ecd0811f17719628fa572716044ca12d,1
9e1d3a75dd594208ed47637dcede5654,2
7b56c163a5113c61f64ef0b9edc03d41,1
e3a8889b73a2df295ca881eed28f5915,1
b7cc4fc3d37bd9f0c160f5be6ce66e2d,1
c88b281cd7e433defdf3e9ebf3232ec5,5
9e31b2b4bfc66cce9a40d679ca06cca0,1
490cafae92cce4e3834167ca05de2559,2
4e3b5ac34139a788008feffc61ae79bb,1
889c4a66627638021582d2a03dfaa2df,7
b57db16d34e1a5c78b6d406cb650d005,1
6d521004e1c4e1d989538d2755db6738,22
42b7bc24896b9e876a62165ac905d0cd,3
4ca749ad9c1b7f5e6b0941e2727cdab8,3
f560a8633a1eb8de7a600406bb3d8fed,1
de39e6196600e750bb805208321eedcb,1
8ae94993f7c6ec77e6a9ccc70203c67a,4
8f0f3bf6c756c3648311100485cb929e,1
613ed210f672a30d246bf04d78cfe234,1
c9bcaa5fabd5bee96e585566419392c4,1
e0a0991eb3ef43305a1f1ed2b1617fc9,1
91b3c55842b4245db3f87b319f36b172,1
e9a2307fb6f4ba936ce9cf853f8f4a26,1
e0ac2803e8566979e27b8527d3c20c7c,1
fcc9bab3e24ea08d704271c6b2355fc5,1
4e9fe94ed19905dd5f860e445e7151bb,1
57b5210ace9456d492872331ec0925b5,3
9574682185d699e9129602d354055dea,1
93126987d4b6dc3f56f732ceaa11445f,1
3b3b9fdccb2dd96d2dab461f3c17c37c,1
be4194339766fa2cd197ef2a949f3ecc,1
d99eb68ac82496784a61dd5662802d97,1
20d63462c95cea64fa9db064d60fb8fc,1
66fddc59ec569e4103775bc0c536e315,3
505222933a49951c0c4939feb2ee40f6,2
f1db2fc8853d830c689a249d055ca25e,1
32d4e0d950f968eae48c0041f90efc14,1
b72f7f9cd8c293bab01879b2659caea1,1
89c2859079b8a289e6016491f510bac5,1
103d4b40a6fe36918273445e3a00e5b7,1
922d94ca93d29f0df290d18b5a6eceea,1
15dc590175d5163819719b4d9378832a,8
8c4c9619d34b2e7bc318a0d576fbfa39,1
b2992297cc8dc62817f976095c53d4dd,1
1828c87dd6c813f32957194d85595fdb,1
e9ed49572a6980b5306c2bb7d488f67b,1
48e1c9ca2a9b18fc7bfbfa42d747271a,1
589476595970e729ff6537f791bdf29b,1
ba80cab7e067b20601e86e214828d577,1
e89cc86bbd3db4ec22aaacc259f03b5c,1
458d82f1990241da8e52da049dc1021a,1
56ceea8565ee1ffe53676418eae4a8b1,1
0bd81606a3a90a6a564cce65ced92631,2
80699ce1987dfa18c8d53e606bce6457,6
b1eecf7d58d445b62e94b48e4bb44d7a,1
09feebaacd943eb523e70d62b8dcd9a8,2
2d8dcce42423f692df54d49264fc2dd8,1
4e82ecfa30aa2bd3d986632e76dad585,1
dec31ae9c955700d2a138436544318c2,1
bb18e1a529f4754a0011d1c8db57d6ce,2
8bda12019a6f35016464a45cf2dca9dc,1
9077563310420686cae05dc7f7bd81d0,2
2cd05a03f8449ea8ec7b50b8e133698e,7
3a9f4bd05cdc5e22a50e43a48e16a95b,1
110f599ae320e1ead303e9bc1c2560cb,1
a5fa4ba441473545e839e18c7e5a400e,1
8b3c0d6ed32d8ccc0baf7089a40eb38a,4
165f4b9c4f8864e50814eb8942956d08,1
a0a58d4cb032513fa273e12c44637b49,1
3a26d5f9ba1a00ae1efb8e80af747d24,1
63f4aaa6223a59a5f32f1b973786db34,1
71789f197824881b9186e148833dc752,2
fa54c7e493159abf9d68ffac9ab9068b,1
7d34e4dcd8b50467b8ecaf395c2080eb,1
5b0b2bf22f5da37d8f66bed624923320,3
0e33b15e377b137932578e9f07bf7f84,1
0ff6670157c34a5361bde3b8d5106f41,2
d7541933316fc65d9a22d068c080f472,1
1426d4e933be327411739fd5def82b17,1
b04f457513fc392c0d893228a548d9cb,12
30adead420ca747c6001d72676f1adee,3
c0cbd080157dfd5cf42017c1598af931,4
9658e287384deb2ce58df20d5da6033f,1
9503cc1c9e4ca0562677b1b017e60d47,5
0f9f807590bacb111969c29b2a351554,1
730ad371f42176454322fd9078eb9389,1
757a2d85f37da214400eb8d63aa3e332,2
d67f5a8ea62c4b5ee34888edd595ff12,1
d0183abb7a7c50aec60f0f9539c49013,1
e961f3614edef65453a041629b6ca506,1
e67845b62e8d2b30b9386329881ba535,1
d5ebcbf3150391dd980cf3fb7cc5e568,1
e4d0b3a47c315e5c636a12483f4ba960,3
8076a7a187c3ce718c3259fcf5f30614,2
0ceb9700690247fe180ad6a4fd216aac,1
ead2ad17c8a57e9a7e760cb70c5858ef,3
499e6a17d4600aa9c64a741dc7a662c2,3
