subconcurrency,accondate,subconform,anchetype,subcondate,acconcurrency,acconform,entname,liacconam,lisubconam
人民币,1350920000000.0,"1,",GS,1350920000000.0,人民币,"1,",c66440524fefaf7a7b23b5cc6e821970,10.0,10.0
人民币,1351440000000.0,货币,公司,1351440000000.0,人民币,货币,889653e74a3974397d362654f2a03599,7.5,7.5
人民币,1236700000000.0,货币,GS,1236700000000.0,人民币,货币,b7e8acb789c12693c99f193d883a5930,42.0,42.0
人民币,1300810000000.0,货币,公司,1300810000000.0,人民币,货币,31b873661e65a4ad10d286f9e11ac771,7.0,7.0
人民币,1305560000000.0,货币,公司,1305560000000.0,人民币,货币,04e599c8fa7307ffc84ee640e95c857a,1.5,1.5
人民币,1156780000000.0,货币,公司,1156780000000.0,人民币,货币,5e20a2302ca61f9c13dcbc41948d7d54,49.98,49.98
人民币,1482420000000.0,货币,公司,1780240000000.0,人民币,货币,7d7f93d63ecffac234aed3111ca5d2ca,0.0,60.0
人民币,1325000000000.0,货币,公司,1325000000000.0,人民币,货币,eb9210ebe3a683a2285545d5dd988d7c,58.0,58.0
人民币,1348760000000.0,货币,,1348760000000.0,人民币,货币,e302e417b3d4766dc2215e5eda9c2631,0.3,0.3
人民币,,货币,GS,2344520000000.0,人民币,货币,7a855d046d7c3cb4df3b71348becce23,0.0,10.0
填写/修改后已公示,1365520000000.0,人民币,货币,1365520000000.0,人民币,货币,55951453767247f569eff1e1bdc11267,100.0,100.0
人民币,,货币,公司,2398260000000.0,,,74eb1d669eff3f018967d9e1b6c0f452,,100.0
人民币,1368290000000.0,货币,,1368290000000.0,人民币,货币,fdb3121577b31dc546545ce6a002f30b,30.0,30.0
人民币,1236700000000.0,货币,公司,1236700000000.0,人民币,货币,b6d224ac90332485abe43630bbc553ea,30.0,30.0
人民币,1393170000000.0,货币,公司,1393170000000.0,人民币,货币,a2c5fa9af643822882f7eedb2ba6f514,30.0,30.0
人民币,1441640000000.0,货币,公司,1441640000000.0,人民币,货币,a2497a084f17b244e5c216a1ccfe0441,7.0,7.0
人民币,1451400000000.0,货币,GS,1422550000000.0,人民币,货币,85eb7a5fb4eaa0765a7c354ebf055dd6,90.0,90.0
人民币,1087750000000.0,货币,公司,1087750000000.0,人民币,货币,681604e37da92b1f0e22a365f1171c12,7.5,7.5
人民币,,货币,公司,2398260000000.0,人民币,,b87fe79070facbe1d582f5dba57c028b,,180.0
人民币,1302360000000.0,货币,公司,1302360000000.0,人民币,货币,7ec75e18159b99dde348c5d396876ad1,8.0,8.0
人民币,1333900000000.0,货币,公司,1333900000000.0,人民币,货币,e64b2807e19951ea86a7a3aafcf759f6,45.0,45.0
人民币,1414770000000.0,货币,公司,1414770000000.0,人民币,货币,53775b304596beb75d540321ba04f237,1.2,1.2
人民币,,货币,公司,2368110000000.0,人民币,货币,39a78179fc1baea62c810f3adc1330d3,,27.0
填写/修改后已公示,1735570000000.0,人民币,货币,1401980000000.0,人民币,货币,f77362809eb49c33fd50db55f93359fa,39.78,39.78
人民币,1262710000000.0,货币,公司,1262710000000.0,人民币,货币,8d1d70b636ae457922ec7169b8cbb951,2.0,2.0
,,货币,公司,2410620000000.0,,货币,91867b7ea7a8ac1eb89811665fb264f0,0.0,30.0
人民币,1262020000000.0,货币,公司,1262020000000.0,人民币,货币,61daf85b556456404ef62cafc9a67996,20.0,20.0
人民币,1312990000000.0,货币,,1312990000000.0,人民币,货币,e0371c4fd969da073cf992bcaa825fcc,16.0,16.0
人民币,1309880000000.0,货币,公司,1726930000000.0,人民币,货币,c42490f297ef63c9cc5c59166c60f216,0.9,150.0
人民币,1243700000000.0,货币,公司,1243700000000.0,人民币,货币,eaa2650f6939bd4ef7791eac842706a5,140.0,140.0
人民币,1275410000000.0,货币,公司,1275410000000.0,人民币,货币,a0ea3dff0756f8c07272c0d45f7d44eb,30.0,100.0
人民币,,货币,,1924880000000.0,人民币,货币,cb6ac55d963432847ecf24c0b5d97174,0.0,10.0
人民币,1034010000000.0,货币,GS,1034010000000.0,人民币,货币,af528b33aa2d7b0b3cc29a38fe2356e0,20.0,20.0
人民币,1342970000000.0,货币,公司,1342970000000.0,人民币,货币,fb4bcbf7217674ead4d4efaca37324df,20.0,20.0
人民币,1271170000000.0,货币,,1271170000000.0,人民币,货币,6838c5fcf9ab09b9fe236a6a95b84df1,30.6,30.6
人民币,1719760000000.0,货币,公司,1719760000000.0,人民币,货币,ab80b2e42661e248d528eedd0e7af3f3,0.0,5.0
