entname,investnum
bb569a237d7c19edfeef0b91945127ca,1
b7d2dd3ab5f5365be793b3fdd0908650,1
721fd2f9b026b90214562755db950cf6,4
581bee02512d4d98f8e091f07434db3c,1
2244d409fbf23630cc4e45f8a26eb22b,1
6d9776a2f0493b54ed76c266c3c80dcc,1
27f75dff678ed9b7c5581ac28f314954,1
ec40f1b5a848ee16e8b759f6f4c72367,1
ddc51d156c248726e2335b4a666c29b3,2
1a921846da620f1f30f283f6d00721b6,3
507f1ef2a0f467d867e2535fb204692a,1
77b90393d380eb13db3f4706bd51cd30,4
ec72b2aa7ed241e24892c07375de8b14,3
78adc781b600e9969a2bfe0cf8258f78,1
736104ece971ba7d557f5d92984e5040,4
8cb9e3cf3486c828127a47129c7bb0c5,1
14ddc92f2ee24d260192b52b9c03057f,1
eddc1d877498e733e4c4f552495fab81,1
71d5f80895892321715eb8e8fe8fb2ea,1
d6d85f25e632619b3592075753f7993e,1
77d30862cd5d22fbb07e588e2b453a38,3
746b56acbba2fee6b5014e7d95b136f2,1
c54231f5e15b5d03181dd77ab86d65c4,2
b5acae7559154e29488d3668aca3303d,1
8e4e4a886d3ffa4955c5a3caa508eca5,1
6ce1a950daf2cedd952e059755331ac0,2
721f08a45e3d47521780c6b8f730edb6,3
f195fac48b793321cdf4ec058e102062,1
844a8dba2b349d386166f31fc2cc483e,1
5c11e72ca5ecad958cf93f2bef5a6090,2
82eed3147fdc6793cee59e929e843563,1
8864a96e33e6840974f4b81b79e8fcef,3
85617e0b1e8b8f505399cf93655dd7fb,1
c3925eecdb25ecf8ee0c7a0400e7c702,1
bc03e7ef307e3b9bf5ebacf71bca183d,1
69022ca8a5479744b9d32269730820e4,1
ab6ce113a12b5e5d4a561511699bbea6,1
e0a719d81280acc3368e61d5d982cbdd,3
365fd76d4bc9c5de338a426a24fabaeb,1
a441671b8f45e0031fc1bb235ef3b5bb,2
876ec6b12c90376371ed563be61bb452,1
1f2b8e51257d8bc9f41d221be5316cb6,1
2eeeb905a7115e6685a4b65cea22aa34,1
e72fcb5cb0359201186e443fbd897114,1
16b855f55858bcc9e5112d3cad64a9ce,3
a63b17f79c4b4277ffeec62ca971e6b4,1
ef18f17d82bbc2ed1c03374e727faee4,2
37e010ebd01d2034edae298b241677f5,1
e30e487f59c174bdb7bfae1c15d26f47,2
65bab02fbe5aa0bb653513c884afa011,1
d3756b6c1b25d3808443259d888e711c,1
2aff39fe100c45ea488b535e716542d1,1
e3a0bc113f4889d888119ad9da112758,1
1529c0ada8084c51b7e47463a24abd93,1
24d37602a91495325864df0806605cf8,1
ae8a8f9a1eaa5925475ecd8a0e2a1abf,4
5903063942710ba6d9c08a7365c7835d,1
cf45b71cf4c8b3a2ba85754f02219c7f,1
934227aa0b009be75ff7303d7eed65f9,3
49c67434d5525c20637f21732db88a2a,1
425625a4df6c3bec403e24cffbab43b3,1
8ff8a07cd7a4c784ee951e182a9f5f93,1
cf2c06c73a7b90e70208fcfd686f1811,8
298cfa803f5b139c4de8788e4bbf1afc,1
73670f2da2e0875db307a7b14a0dbcd4,1
710affb31ee27d71221c818a0722a3f0,2
53c7e2107185b2144088226a5eb65bc1,4
4d53424d68ca6b61e3f9528e14202362,1
11924521a2f5da88e209a772de84b776,1
debe76fe63e38bd08450bbce0682021b,8
d29599fac3392bd91f3c6b93e70f7312,1
19460d2a758aab77b862a0bedf624176,10
8ba013eb28ad3557b8d2986fe7c585b4,1
1b623866ea0a8d039ed5427b0119a829,3
ceb728b30fcb9ceae99e097aa63ecfa6,3
3c8a55a871669994865e6238d89544c5,3
b1926bd7e76f2691b2d90caebe498a5b,1
c6ed93cba6863e88e563645ac363bd1a,1
ca5de1cf9eacd402eb43ea806525edf3,2
787d61cb19f92ea4bc4a2f9c95c68b9e,1
b0f06bf4704af5d9ba9b7da621ddf372,2
20f5086597506879f1a50832516e74b0,3
380755d6da56394b2eb877ee8bca809f,2
0902601602d5032da7c686629235c74f,2
80bc3de01df89eca18e6d1f879cd7f1a,3
