entname,shopnum
5c0514b9faf8337d74610aa56d85dd99,1
3bd5089fdec9fa40138f9cc1d5cdd3f5,1
dfa89e12d0b61e812ca409c4c58b9e34,1
bdb7fb31442aeeeb8a5258b255f6b7a1,1
7dadaae30636e6ace9896d0dcd34e0f1,1
c0b30ca4e8af3279781164ad9daa71fa,1
789a5693e2417912193053cce938e015,1
77356aa4cda40effff938afdf8446f0e,1
eec90abf04437ac0495746a6a37056e1,1
b5808be4a9312cdd53f61a62c332aaa8,1
dc08bc2bce21e1698e1fb897690cd446,1
b674976ffbbc779cfc12ce696d4a23fd,1
109fdc9dae68b3213e35e937b6e31e00,2
448e6d868ffb234103ccf5029ee770a8,2
d1d0164efec65d2b926c79c1b35ed973,1
e5795f743dd7a973197c859ab13b95ca,2
c01a6f2ea96f406d9579b23e7dffed9a,2
64d22007cbc637f844acdf5e9bc8e7cf,1
3f6379b4d6b97eb69dd25940532b55f7,1
baa18ad8662ddbc371b616e3d1273569,1
093d754e5bc156f8517cb219e548b7db,1
21805f76223e0114054a53129a58fd93,1
692926b3c2938d06acb3cdd5e2f884e0,1
80ab4095943ff38e64301856314bf043,1
c58aab50634ea0a786476be37720b179,1
f2d391e4e5137ebf938abcc82edd4c65,1
59a4644cf5d852c1e165b7154bef6dcb,1
2054754b208d3d064c664636c1c6908c,2
84beb6f63852212604010b2ae57336b1,1
7f63a27d98adcec9a3b5a4610622994a,1
0f7458bbc2c72c525515d88308984db1,1
7ddb809d94331e486f8df541ca9b5b51,3
010c29902662a613f00c7220b2469adb,1
0c07b88571236df495498b4a164c01a4,2
c66c9c50e7d92e7bd52f84374a3ebf38,2
c0c7b3a53a4d58cc580fc09cf17f3651,1
9b4c64ff5ae1848e0f664d95478e55c0,1
3461f964a8e370cb1c4760384908f566,1
1176c2636fd77bd81572ed8fef613b8a,1
6c682771c72700c5f088c3866457076a,1
eb65fcd8fefd2a6eba2b47a08ff3e96d,2
1eed32eca64848be20da4bb642cf270f,2
0ae85a048249a9b7811e6233b712caa1,1
a70605f32d953db26477ff04a68f5b5e,2
9ca15e05383c3e653879f16b00318bda,1
96830c221a55025e398c982c13ce6105,1
e916018530d54e0aba788dc01befed4f,2
bc25887e94cf9196834a1107997f2423,1
6dc56c8dd418852fc97baa6c1b922501,1
e9864b3fc6e76e5cffa9b59eb304eb97,1
6fd2ce6c523e3eb5c51fc11f9abcf2c8,1
3e7018e8a315a5019d1cb15fdb4475b2,2
4ae7f3f1c722f15a8b5021f8bbd5dbd5,1
fa3cdfbd728f6b8992418e53e9141132,1
c8cd9e1dd25534da968ac311d6921bd4,2
2a2b4ed5fffb462081d834480e41e9a0,4
424ceba1e7990a33cf7e110ab7a54b0e,2
8de5d0a23037998ba6d33487fb74c5a7,1
544e082e2ed745a9c7522f065630461d,1
12e7b85de15c575403afbdf7db9df6ae,2
e3dfdc3cda8b6dfc6224b7c1dfbf86c2,1
9c0ffbaa9cde49485ba6c7cf97dd73f3,1
ac9605cb06d795bcea8ef2204cbaed25,2
46e5ea1a5c23e1d98122a9b09bd9d1c2,2
bf732f3e9c9c7ada72f9079637ae0158,2
cf568d044a824f68bbe84da17272e1f4,1
08b224e88dbce994c1d93ab71d353d7f,2
1ae2bebd2e8411fd437a2ee65f1d2190,1
4bb02f471f3daed47f8c96f092d1aae0,1
3119a48d199b55112aee08ea5a392fcf,1
3b63d365dee7ab49c1e5a00d41d7f11f,1
83e515732d546acab5bc21296427a797,1
f9b674e0b299a30fd2068943defb6f22,1
3322b499bb02964b9614c313cddd1b7d,1
074aa781a8c682cc7545cc37cfa22d27,2
805f4047be5606bba8924b8293131032,1
4930695d4d730251fbd33e4f0409afcc,1
5d152aba641f257279c203726e41f7e3,1
41577a03065a8e4edf19ae5e44b6a7ab,2
26f7085a22cab69d550db3a05bfeed72,1
5a27791b1bd2c2a17d359cc967ce923c,1
8f7324a3fb7638e8022744e217a3396d,1
592689ea1c6d7a04029d225fc4dd35cb,1
55537172025336b96d6a0609fc1efc81,1
57e05c42f5ad9a3fc258227fd2edb995,1
66eea5fbbfcd23085bebf361ab0fafea,1
538db3c64bda69ba32420161ebde8aec,1
fad0095ae6ea091bf04f7eeec928e488,1
8c173e3d35f5ff1442e5a848f8b691f2,2
e11f466a03e1545eddab8cb15a7742c1,1
b5835645d2986a84de4258344f6f10ed,1
f276d6d5e323844cd13d4323dd76e7f2,3
887cab820c27e4a2e31cc6e3b11f8c5f,1
0e42b2923967153fa0b406df3d08e0c8,1
f13e34e5cde82f37820352b0837d64ae,1
c7e100191478433b65e4c94686107c13,1
04515d26e4a25c2ff0342ab4d15bdfea,1
200d30874073c563142ea20895f6218c,1
900651ce9837746e90bbe2e4a6e9fc60,1
f129f03919db8716df5309ff3d5fdb32,2
2712787e7530257f5ec51d6f08d896b9,1
8c2dcf6d6e6dfd416beae8bca06267cc,1
39f9280d9a10a7400b97f28dbd26c6f9,1
66c10b9c98f2d5e6b197902cbae9425a,2
3eb45fd8bc081160e54d3ec0578bdc7b,1
a6ec45cb1b0e6d736ec87c7c98f955ce,1
e6ee608dc2811d55f98edf37ae7f5e62,1
681c69633c14b07909f0add06eeea1dc,1
912f588c7a6657dd87ffdefec7bcbbac,1
184fcf775cdf266b00339fb4f1449c3e,2
3ecf81067f48f00a8da1a48301755e16,1
877b7403034b64feea979069380e9675,1
94b8706a33ba127344370391de3f4103,2
31e06881af0050fd13affea339222c5f,1
4f769ec41ecbb075672e6ee81c43d271,1
b6c5b4e4f342ff409a275140288ea1d9,1
dc54e03c50d779420329d3d39e672d9a,2
8162d1c3544ebae39459d995ae62dfea,1
1771783f14a42d20869df88fd079ffb3,1
f15ca75ac2d603358a80b8d4a2aed190,1
0e7774330a1e3acbdeb5685c7c31ced2,2
87c4956e479c316d8e800f631cf23dc5,1
0815bad075c0f795e46122c8def7711b,1
f091bdfec2e01056230d5b776c0d2373,3
d09a482283d491172cf07626509f820e,1
033a9e910b4ffafdbdc6d1a5aa81ba55,1
97333ac8b03dac1f267c6417586ae50c,3
d3ee14454d268b69e6d01a9da79fa5f6,1
e8ad1bbec4ef7b5fd4f8564749eee562,1
7f14c079c5929d9e54d2ece5cacc6dee,1
41309d1194085f845cc5edf2bb3d0922,1
ff774412fac6d1f998cb522550038a73,1
99a589775ec4e2fc359b0330ce1f3088,1
c834060575e01cdcc765e8399877b523,1
a2ae9acb08b48369926b802c63efdd6c,1
a09f7bc89a790b890bcb643ed0ff5bf1,1
217d0fcdfdada483850c7d29d2e6ec18,1
1ad0512fb0a775e1af3cf1dac930ffa1,1
a2fd0c477068f9f6733ae93cf333e0fe,1
f0f8b05e2ee173f18ede7fa2bad0f371,1
5d7ce2735568303a90aa9fc29f4f59b3,2
9df8e4e71c5c9a585d9304af24f011ca,1
43e2e8ce05c954de1764db61939a41f8,2
9ab96fb78ccb6f539b392aef11cee937,1
f257dac6362ea16cef533df1d3320143,1
fb2937c48396f98cb52a0ab763e935eb,1
3d16e64783900055b5f3585c2cefe835,1
c3823b133b978c0ec0e7c254ec89a7b7,2
5f317a0d96196a9a71a6061a934ae226,2
2708153adad1d48013f29c8fc7d16dd2,2
c9e93afe8239a62c0e486e3252e9e431,1
42daa37b548cf2701977d709f943d0ba,1
2baf5d118ee7a87ed7b43fc0f8bd65d8,1
9cc200a2f00d913c5ca06c9509841ab0,1
f6fee7207074c596832f5d9916651dc2,1
d9008a90135612f4d76bf3bc2ecba2fb,4
18bd9ff03829258026c52b370dbb7bce,1
12ff5cb111cd018138a558412491d53e,1
17ae64ed0ce500f0ce05610a2f06d16f,2
4344ca1461af8b6e3db10873142888d7,1
6bdb3dd6435898092672336db5abd73b,1
ca873b8f0dfdbebdcd82152e80e65a87,2
3aadf435306f528ecf206d595e5efca4,1
3f174e893d8fa768cad1ebcb028da501,2
dc8fe358ad12b5a7af9859490126d7fa,1
3ddad36fde19dc8069eccd60f43a2e10,1
0024b4942fc748cfbe55120a20ddf600,2
aabc1d762d59d909d072074422039fc4,2
9670c602b50257f8352742103b8da440,1
86e9b1ed3ccab61a80b10e1f2a260816,1
3be6786e06f7df1464ce8968036df7cb,1
3f90528dcc6321bf66c1f15ccd1a735a,2
34daaa27a78c6c0d9cc61433702772f3,1
0bb4b195b41e284f3c67c86237675b93,1
08a3ba06f74eb06a111a205db3120c96,1
d4e83fbb9912bada438554abadd0e52e,1
f025337bc3fb35ce89bb1ee35649e361,2
6aa238d18bbfb9b938d0d7068aa14284,1
7bb0a0c34d70e898d9fdfa5eba9e1ac7,2
8fc21def66227ae49c8ed6b76aded5ef,1
2d4e26e5894e26b8ad4da581d9e7e7e4,2
0363941f691b0ada9075010069acd489,1
0b72afc5d55ec9ce673458749eff3e0e,1
b648fe878e73bb2e5e496641f0b3bf83,1
0b09bff71f0caf948c84e858b28a83c9,1
f62bed1dab2dec37e8a41ec44de8b2d8,1
1d45789c8030adc4184b18c8567cc097,1
63f5fbedc9921559c981a1d16c818795,1
b7adfbca4b066b8ea80c73d990403155,1
3d45eba10cd84c015c875ea79e559d48,2
2734de3895c21dfcaef37762a588415f,2
d4119ea3373efb2ee8e5237456dda2ad,1
7b919362f374647157baeb371335367f,1
042e1975c8c4c6d494abf57e10bd6dc9,1
3773aaed63e2872d9977e4e829da6306,1
661ccccf43816f78daaf9df1d6c93569,2
37177e2bbccef889b51e2e835167d02c,2
785f5d4f2c2fb1e1f32eb3c302742811,1
dc1a8a1a9308d3e8f64e4819a25de1d3,1
4ec04742ac84c488c8a1f18870b58d67,1
