cbrq,xzbz,sbjgbh,xzbzmc,cbzt,cbztmc,dwbh,entname
20180503130640,E,370100,生育,1,参保缴费,0010103728,8ae0d4e4c9972c5b3953fb2fdb9c91e0
20161024112810,C,370100,医疗,1,参保缴费,0010080034,3a0295ebd77aa51b8d5864419068719e
20100701150911,B,370100,失业,1,参保缴费,0010036252,5529a4cd40a6dfa1faf9c2d4b73ef612
20140312102109,E,370100,生育,1,参保缴费,0010057721,3dc830c9d208acc0ecdab46e01cb8725
20110509111302,E,370100,生育,1,参保缴费,0010041044,244e4d8fbdfbc7d085965b3c37d4eff0
20110318132201,C,370100,医疗,1,参保缴费,0010040051,4e7efab8fb7bf9abe4e5db2982ee75ac
20100902135526,B,370100,失业,1,参保缴费,0010037122,c16d71559fa8bbd7f5a7d0db4c3d42d0
20121019133646,G,370100,大额,1,参保缴费,0010049506,60bf3657578aaebef6bd44fc4eeccc45
20070612000000,A,370100,养老,1,参保缴费,0010018957,07dad2031dd0d7c25d1fc2fe8731bbc5
20100601155439,D,370100,工伤,1,参保缴费,0010035708,bafee930f6b715a37215f22acd0451ee
20170706144147,A,370100,养老,1,参保缴费,0010090474,6b674b14c03d472210d197daaf67e415
20160309094502,G,370100,大额,1,参保缴费,0010073376,fcce2cf0ec9b76a27d754446b6ddb498
19000101000000,B,370100,失业,1,参保缴费,0010202315,6b40776f7583b00e19f52e7965203f84
20170517105750,B,370100,失业,1,参保缴费,0010088129,107aea9a13860ce3cf30386c4f0665fd
20130322153653,C,370100,医疗,1,参保缴费,0010051667,7a07d82817d8678c27ceee128e8dea92
20160317085010,E,370100,生育,1,参保缴费,0010073608,da191e59b0bc62cdffaedf8214cc497c
20160704132808,C,370100,医疗,1,参保缴费,0010076650,036831734e009da36a433a6d1a7025cf
20040217000000,A,370100,养老,1,参保缴费,0010002309,60ff0c9f72a9431649cb6c6bd63f3846
19000101000000,E,370100,生育,1,参保缴费,0010600473,63431e450d9837733506b324349a7899
19000101000000,B,370100,失业,1,参保缴费,0010401319,399d2eab622472aff95f5498be47ac94
20160704100113,A,370100,养老,1,参保缴费,0010076628,3c88640fcc072aa488755d11a443b6cb
20070212000000,D,370100,工伤,1,参保缴费,0010016573,f638c7b147bb2ca07274d3d6b0ace1a2
20130606150844,G,370100,大额,1,参保缴费,0010053066,7fc21b13317c0e46c9021626d208716d
20170615100033,C,370100,医疗,1,参保缴费,0010089514,47444044da2651a2af060cc4ed8fa775
20160621151255,B,370100,失业,1,参保缴费,0010076378,eade28e1f00e4f9f8b2b3b679a576baa
20170116155750,D,370100,工伤,1,参保缴费,0010083066,d0861b0c35ffb53dbbf7f01fa8cc70d4
20120801111108,B,370100,失业,1,参保缴费,0010048311,993a69e5682a1d97c990fddd02614673
20170505092102,A,370100,养老,1,参保缴费,0010087450,861f55b28d78b9dde5b3666f6f18995c
20110509113947,C,370100,医疗,1,参保缴费,0010041048,c82f2150e17b5716180381da0d0ab988
20160510153821,E,370100,生育,1,参保缴费,0010075136,c0954cf82b7fbd4fcec355db868d73f3
20050412000000,A,370100,养老,1,参保缴费,0010008439,dfe2602da4ba72dc3432106e7be9d6d4
20170614092035,D,370100,工伤,1,参保缴费,0010089445,3c3a1bf9fcf9dcd0133ddb93317802a6
20111117145322,D,370100,工伤,1,参保缴费,0010044090,fe3af59835635f9f00a048b8b9358c80
20131111111928,E,370100,生育,1,参保缴费,0010055633,b8c303770f04e9f5c5bb21bcca91e980
20180904090548,D,370100,工伤,1,参保缴费,0010110711,bc52b65eec2ccf730508b44239ba52e1
20100806160043,E,370100,生育,1,参保缴费,0010036817,c358a280c3df35bd02bd1f1d9e83038e
20100407104901,G,370100,大额,1,参保缴费,0010034605,8ffaaa4fff98ab4e92df14bc73bb1127
20120906103714,A,370100,养老,1,参保缴费,0010048939,baa8780a3ad9957781728858167bce30
20071016000000,E,370100,生育,1,参保缴费,0010020192,7f804bcad6d21587dc962ca294270370
20150805101824,B,370100,失业,1,参保缴费,0010068448,4a1b44917f9cd9f040256c30d7e7d946
20150724135419,B,370100,失业,1,参保缴费,0010068224,9068e47914f0a5629d57fdacc3ab8241
20120417085602,A,370100,养老,1,参保缴费,0010046588,bd9e2aa115d5e674dcf60aa22199a13f
20130301000000,D,370100,工伤,1,参保缴费,0010033092,d8668507b843edc33361819797460c35
20161201135628,A,370100,养老,1,参保缴费,0010081204,7ffb7aceddb67a4e69f1268017bc1110
20160408091510,D,370100,工伤,1,参保缴费,0010074179,c7c049f532ba3508b52a52332e867191
20160510152435,A,370100,养老,1,参保缴费,0010075135,aaa478f6824c3788a96dd7e92d42de60
20120606155350,D,370100,工伤,1,参保缴费,0010047546,1056dba41934b37e887b25f68665a1c1
20160822145354,A,370100,养老,1,参保缴费,0010078235,2df8d7dd2f6d9224e6675645ef3f4148
20150521084022,D,370100,工伤,1,参保缴费,0010066683,ba142ac5ba67b95278b25a731254c926
20160122093805,G,370100,大额,1,参保缴费,0010072466,eece21fb7ccb906a3ece75f56ed3c3e1
20100413112441,D,370100,工伤,1,参保缴费,0010034845,8fcebba1ac5a3d9f2a1850a12980a7bd
20131015111439,A,370100,养老,1,参保缴费,0010055115,95b8a7714e8cd0f727af68645bcdc6b2
20170223100855,D,370100,工伤,1,参保缴费,0010084094,65e82df23374a630ccef5406b86e01e2
20170515161818,E,370100,生育,1,参保缴费,0010088047,04610ead29e02351062b9557b674e698
20100203143821,B,370100,失业,1,参保缴费,0010033674,8d3e4533b34edb01f9204620b72b9c7c
20160920150015,A,370100,养老,1,参保缴费,0010079149,c97d4a1088fda6bfeff2a8d95dbdab1e
20140722152159,A,370100,养老,1,参保缴费,0010060664,8fa36396c917f2924d8c7f50bffcccb0
20170412083435,C,370100,医疗,1,参保缴费,0010086436,0b6b135296315baf21098b401a6035d4
20150105110910,E,370100,生育,1,参保缴费,0010063787,c3fb3e673e2f81cef672ad95af513471
20100401092733,E,370100,生育,1,参保缴费,0010034284,5b7c3ef279748eabf20178a8ac439cc1
20161118150558,B,370100,失业,1,参保缴费,0010080990,9dd6c0281e5d460b4a8fc6172338ebc4
20150113092140,B,370100,失业,1,参保缴费,0010064133,a3ca4cffe01766be070b004657e6cdb7
20110704101852,G,370100,大额,1,参保缴费,0010041917,8f5a77eec857f76876f169cd3badf7c4
20170810141435,D,370100,工伤,1,参保缴费,0010092207,81d3da87b774e91ddd9e2ffdebfbf33a
20170420133019,G,370100,大额,1,参保缴费,0010086862,e73bb115155a3f71598a483ab45e1d62
20180823101452,C,370100,医疗,1,参保缴费,0010110279,29b79d9df8b4f2000117b852eeb56ed1
20080613120056,E,370100,生育,1,参保缴费,0010026320,df9aa1d447f847d86f4c1336f9cbca3b
20170705142049,A,370100,养老,1,参保缴费,0010090349,58fd92b9539e9182868daed03a18e641
20161018104331,C,370100,医疗,1,参保缴费,0010079880,ef798648eb1e70bd78b856740243a73f
20130307143544,A,370100,养老,1,参保缴费,0010051427,611ee71bd0a767663bba881064aa0a04
20051001000000,C,370100,医疗,1,参保缴费,0010601134,e2362148ae3c223d10b247319176569e
20100317110715,E,370100,生育,1,参保缴费,0010034194,6a710169f1e537d8bacc17ce0a2f2089
20150408105945,D,370100,工伤,1,参保缴费,0010065616,76f05a127063ce65c57163c4509a84b1
20110402112349,D,370100,工伤,1,参保缴费,0010040251,b4b7f137a716aebe56feddc05a1d3be3
20080509105008,B,370100,失业,1,参保缴费,0010025613,d5bb3925d34b5e611b6b211bd2dcd1d0
20170401150046,D,370100,工伤,1,参保缴费,0010085719,299502c94cfdae07126b808dbcfa888d
20160912103500,G,370100,大额,1,参保缴费,0010078919,a73ee0382254ad120ab10bc7324a1ea9
20081017100723,D,370100,工伤,1,参保缴费,0010027848,619f6fab43463fd61996ac096b468909
20110922155008,A,370100,养老,1,参保缴费,0010043236,b527137f6566805d6366d2d65c7ad6ef
20060914000000,B,370100,失业,1,参保缴费,0010014992,032fd66b7af237d42732586d9cc8f7b6
19000101000000,E,370100,生育,1,参保缴费,0010202007,0968c2ca6587601dde8ec350f3e7b18b
20170210142635,G,370100,大额,1,参保缴费,0010083661,8729386c3b7721cfc5f596f83caf29a7
20170420145216,C,370100,医疗,1,参保缴费,0010086877,c79e913aee9fe65f8419ee6d68c592c7
20150914163441,G,370100,大额,1,参保缴费,0010069454,79dc60f67510e63d8f3c622c917f1cac
20040512000000,E,370100,生育,1,参保缴费,0010004495,cf2bc5585d99e1d6497a585d8226dca9
20111216101710,B,370100,失业,1,参保缴费,0010044204,54ce74b7f9eb386b76f01911d013b07f
20160712150538,C,370100,医疗,1,参保缴费,0010077058,eaaf6ca50084e134dee2bd137c9cda75
20170418142014,B,370100,失业,1,参保缴费,0010086770,151a85015231890c506d392ec334ae0b
20061123000000,A,370100,养老,1,参保缴费,0010015502,a63b17f79c4b4277ffeec62ca971e6b4
20150911102143,C,370100,医疗,1,参保缴费,0010069389,f0b86e1fa6cf946e1b283b638d9a3b50
20150619090055,A,370100,养老,1,参保缴费,0010067408,11bbfa567c4c5439becdec6d86813981
20120410093647,A,370100,养老,1,参保缴费,0010046382,8e0f13a096cfa44ad920d56a561f9d2e
20160713100005,C,370100,医疗,1,参保缴费,0010077080,14482ca5016d3a9446573123b937a5c6
20100209154156,E,370100,生育,1,参保缴费,0010033748,04d5d1e9340d3ebbe5060db0f744fdd0
20180502103022,C,370100,医疗,1,参保缴费,0010103560,c1d12c249c89d13df090e9f2bad41d5a
20070813000000,A,370100,养老,1,参保缴费,0010019641,2b915dbafd882fdd778122b089e64912
20170801085307,E,370100,生育,1,参保缴费,0010091334,7411068c25e05f68e3f919dbf1b5cc5e
20180105140746,B,370100,失业,1,参保缴费,0010098601,6117af1e038b7377241b5c188d118fd2
20170522155137,G,370100,大额,1,参保缴费,0010088306,7d108d61bfe40936aaa01f09ecd0b115
20170615113135,D,370100,工伤,1,参保缴费,0010089533,ff7570590d1ec3cd16fa7a5ed6685f43
20130903150529,B,370100,失业,1,参保缴费,0010054452,1c2f27186d3ca89c78e4bb24ece515e8
20171025104531,A,370100,养老,1,参保缴费,0010095270,8fa991382b8efab11996bbbfbbdac17f
20180712164049,D,370100,工伤,1,参保缴费,0010107992,b1117dfe397bb7275426a9b1948a102f
20170301160306,E,370100,生育,1,参保缴费,0010084284,e665fc05af56f13751b9e4788a23c709
20080411111803,A,370100,养老,1,参保缴费,0010024993,116905563583c62e629f4b9185f443f2
20170823130421,D,370100,工伤,1,参保缴费,0010092687,799fb84999264e147cefe68e4b5c572e
20120502155901,G,370100,大额,1,参保缴费,0010046803,306f68d57ef5b4d29aac40affcd8153b
20170705144243,E,370100,生育,1,参保缴费,0010090362,4866d45472145913dcccbecad26be85a
20170718114006,D,370100,工伤,1,参保缴费,0010090994,bc4e6850b8e579711b8b8190f82bd0ca
20130903162657,E,370100,生育,1,参保缴费,0010054467,26633f47d1a6276055050d90db3e07bb
20170809102304,A,370100,养老,1,参保缴费,0010092089,c6684578b9462f364cd493359db004ff
20170922102936,C,370100,医疗,1,参保缴费,0010094124,a130532d8aa2ff5178d3668a23b808cd
20051001000000,C,370100,医疗,1,参保缴费,0010006632,912d743463dfcfd54126020792b59ff1
20150107153937,E,370100,生育,1,参保缴费,0010063963,ca7904fb4bfbfe0ff44de5fcaa22f649
20040218000000,B,370100,失业,1,参保缴费,0010002377,37d00d186e29c7098d241a4b83ff1f23
20121120143257,D,370128,工伤,1,参保缴费,0010049962,2919251b4aa9491daa70a33f97d65be6
20100607150030,D,370100,工伤,1,参保缴费,0010035908,29e62c194057632f0bff73f7c77470c2
20170601094639,C,370100,医疗,1,参保缴费,0010088510,2825642ede8290a278f1a4a72669c0f2
20140508084519,A,370100,养老,1,参保缴费,0010058916,5db9b00b38318ddebc8ac73c0f9b570e
20070406000000,B,370100,失业,1,参保缴费,0010017530,51f1139081a7e281c4f79def45a6cbe0
20170406095422,E,370100,生育,1,参保缴费,0010085912,374efb4d718a774c3cdfb131b449257b
20050512000000,B,370100,失业,1,参保缴费,0010013602,52b47db210a132a101af4985cc81eb0c
20160808093756,B,370100,失业,1,参保缴费,0010077778,996b91aa3bc13928e5175a3735ac43f2
20140217151608,E,370100,生育,1,参保缴费,0010057178,cebb998e69b7238c6bd367819e987182
20160503103722,B,370100,失业,1,参保缴费,0010074726,83aeb840526f49e68c8d3961b3a6117f
20180808142623,A,370100,养老,1,参保缴费,0010109567,4d1d8eb175885cdaace447d22d49ec7a
20151218101850,A,370100,养老,1,参保缴费,0010071599,47258f0e0d6581251b41b55567dbb580
20141205144721,D,370100,工伤,1,参保缴费,0010063308,b83c8e80971d312a474b4b743bff09cc
20170207133806,D,370100,工伤,1,参保缴费,0010083426,1b38f85bdff35972c8e1018334f9505a
20171101132339,C,370100,医疗,1,参保缴费,0010095432,4daa76c1201aeb10d3dfc9cc049f2981
20170504103347,B,370100,失业,1,参保缴费,0010087351,8b870c35ff81eb52b0d9e3445b9a00a8
20170705143714,B,370100,失业,1,参保缴费,0010090359,6750b244a987b52b1b30407c61e042f4
20100607154621,C,370100,医疗,1,参保缴费,0010035917,3b3608d4961b8638de61ac41c7e9a89f
20170104145520,D,370100,工伤,1,参保缴费,0010082330,fb7ed076523aa8d75492e62b7c3a6427
20081001000000,B,370100,失业,1,参保缴费,0012200477,d03eecd57d5ac558ef16e618d4aebe0d
20160322103650,D,370100,工伤,1,参保缴费,0010073729,3c5244fb086f730cd211799ae80589f9
20180604163130,G,370100,大额,1,参保缴费,0010105439,f564bfeb94b1638025fff31a7b93a377
20160108090733,E,370100,生育,1,参保缴费,0010072084,edb0e9312afcecab18e0d34740c9e2df
20100302000000,D,370151,工伤,1,参保缴费,0JGBG00036,ab4a64e5ea9541d2014917e1377691d1
20141104100109,E,370100,生育,1,参保缴费,0010062578,1ed1038441b640c7c55a18146a863eab
