entname,is_except
f5fda2e7b873709a4b97e12af0786d8d,3
c0e4c887838958ddf52d2d9bebfa9687,1
7c5d9a880a1557860970c41b3a06fab3,1
abffd399125d8c003dff6528ca49b1e6,1
38b9bec53184974a18d0cbe0465c42b4,2
4fe9561b4f534bcf4d280f9274932876,1
5a3241dc3241987b24dfd5c4bbadc9c4,1
2a77370c6239cada70c829b010d7c762,3
8fea0bdc18cf517062e7d82142e83ae1,2
d50693df055a444e6c90dee6727ca598,3
bdaf041b2558351bd2a03c599efeb261,2
823459dec9e6ec75cd31c4c845acd49e,4
badfa84a0aa2d4d865b9e04bcf637601,4
d98880a0a91387a63582a3e6b4fdcdde,1
1b1bdf887249c84661e26a3f9c5ad9d1,1
9c03612daa00ff944266e760080b3bfb,1
8aa6b4964937ff9708c4ed0bb5c9aa35,1
0b5d3f351f9d15950c805d4a2da1aedb,1
49a6d24c4a4677b27c5d1c7f831a5c27,3
f488ae7fa9b5b944dbf3662f4474b960,2
375eff0942a392b7af3a43fc720f4cb4,5
d239c833a5bcb755f77a14a6dd171fdb,1
4e191a40a7fa258328d33747bf7f6449,3
1e7fdfc6cf50953544e553e5cf9ec21f,2
3870b47ca7d1bebe62be35c3d33a09ff,3
034b4d533b73df2b046479400308bdd8,2
e33a0c9a70e930ddf88f0832eb6a7fc6,1
edafc34b8c6ddff450b2ed1d4cfdbbcb,4
a79305c7d9b651b5923675f61ff26d6f,2
d122d298ea7b7af47b70f237f00b2f41,1
5e8133a8ad2ad2954ea5a8f397a72ce6,1
c456270a219265ac8bf7ba767beda29b,4
61af607f6f479fef1cb4d5c02aa0438a,2
0252614ded8c46ea285c565e26b13c0a,2
2d9438098bb02a8ba0ec2321394b258e,1
5d2754e87e33a989e01734020af72dfb,3
6b976679db5ea4da28d23774a1164339,4
dbbd0b354bf0a5da233e085e1237a5b5,2
b3868143fbf5cfe314aa1d6f7602592e,3
e80fb41968bded500d23c26811cc9579,1
11e5b8cad879626f68cd78252074b10f,1
c4992c133469ce0a13a3674be42f66af,1
000087adabef40f7efbe1ff696eb83f9,4
aaa623cc8de69319611c01b9ba4a6fba,1
b4c655fad59ce763d6ecad95aab4c8cd,1
