entname,credit_grade
6a4dceb306331a33dca3341da7920eae,N
1b384a6be7c7902c9cc60b8c3425e124,A-
9de1d9c8097866aec0c7d225a7b96d9e,N
e430d30e1e05f9e8ae35e4a56c0ab3bb,N
d114c388e9e306217d9b0480dc8e8e8e,N
095e1b4f4f95591a7246dc1b7789454d,N
abc19e7e71e31e8a0c2cb8c09ff684a9,N
790b108cc9dbebb973ef987c74c0d139,N
6f5986810b753885e0b51a0707ccca5f,N
4a9a1d3fd6b47016d38c3dfd60dfcfca,N
502ddd6396862f5415e83366e1e5f9a6,N
373754df71e4732c1f3db64bf62975cd,N
1a8909d426ceedaf9eadc8c7340fecbb,N
7de5b0073504938802a26d63b1cdf9e0,N
662cef4551a517e5f09f08fbfb9c89cf,N
6d7ae047d8d8a868f6dd402d9366b865,N
fd4504c7252cc6fe3f700d099b00c613,N
c067942829cda0675ea5b4c29910a985,N
02dab75ce06729f45abf950cf6d5e05f,N
fbaa64667e770fd43f4651e9f5f8bed4,N
3664a1b8bc85db1e4a107d89045c1e40,N
9d3d075031f22897d5e897c23735b0cf,N
e5c76359b8d7ee0184c7bc0d61f28ccf,N
da78686021c757312cc8f4741bea2b89,N
decc7bdbd4f1e811669d7a85316566fa,N
0a72b8b7d0688f13c48b5e4d0831f6aa,N
d870fbb498614fc81065d0161554fc25,N
4aac1f086a1e5eeb63c27ebe74168c1f,N
1446a4ea1c62f4fa4d8cfed7695568b6,N
5cf1e0c65770a01dbb481c67a65364c8,N
8446c6b8dfacc46b4c7126da6b07c875,N
83acb5fabcd0be65cde7235939c735cc,N
ddde3ef3c42570d7f3eee5dbf04b714b,N
50f09e520636af29e54d81250e384581,N
c63bebf4ce23b0464c99ea6c0707063e,N
79d443dbae59424bba7f4699c15d3224,N
ff718baa7ad9e757871f3dbcf4b935fc,N
71c31fcd892852e62ffb336bda6fa132,N
176ca42d40d2b42c7fdf4abe68f5a7bb,N
fb2044f8716987711f16281f418bbc7d,N
caf8c7f79137be43f15b6ea1809cbffb,N
887d05d65f4ae1571f1d6a02c4c241cf,N
1ab6eb9b84ce849f952518839ed7acf4,N
8288693ea39f8f6d51764ae65589f766,N
4d85b2c935e849eaa4f3874b33dec93f,N
068c927776a0dfff1edc7dfb384746dd,N
03d3b3ca30512942377a192187aa96df,N
2a8b14444a7d4f5836ab7df86960a9a7,N
ead79a0a31724681c2f0920c8da3b614,N
35635b4a60c3278f8058d41595d38031,N
1f8106b0c129f30f2dc43e2d2b0cf49c,N
04833ef979860edb72ea7ae48c83c080,N
1dc236a3ee66cabf401b219cab1ee4f1,N
561efa97baa258456d9526621f353964,N
79118cb0d5c7daf47beaeba69a83ebd0,N
8e98c3ed40f92366dafcbbde9baa4019,N
2892dd51079d864c1bc0f672aec7a56f,N
e054a46d8e653d2daea4b8ff2f15607d,N
c500be3b9e4009242f1afaa75d0cf1dd,N
32d6e1a2aefed54f6e875abbfc93117a,N
bd51a884efb4a88efdf9e413052d70c0,N
4d24f7eb9d345e2ace7765a152a28a40,N
d49f5cfd98af54c0b916cac953e52b0e,N
e3630bea264a42e91d323e59129e5683,N
1cd8840a4f1abcd4221c94fc888f1748,N
e10d083be65e365e230d88734493f30e,N
f0e3aced0fd2f01b71811bd66a0d54bf,N
5419e380f3d82e09a3b21b70996170b2,N
8ab0dfb334057cde84184fe4e2315bba,N
6a34ba632a19180a1cea36f15211e530,N
3dc12cad53dc903fb681e5a33a4bf478,N
36a7eeea7bb60289789e12457ea3271e,N
84f8a91d1102ae1ce80da48ebe05a74a,N
ade656499236563873d61309a374d9af,N
2da86f2527499b0674f28e6208af80f0,N
9a01c31e1d6678923dacdb1c4435df1c,N
d1b6438516c700832cc0a02dfc0deea2,N
f819b6093a2f9d4e5bf37769002bd951,N
5a2fd8828c99eddeaee59130715992d4,N
61d55c84f33ea5cef8dc69a0b7aa18af,N
0b7b4f7c678de8db8a703bc0a0fa81f8,N
ed274534060304d3807d9394f14e0e3c,N
4e3b6c077f65a0803b66e8164f74801d,N+
5a3772acef102a1174eea9e8984eb9c9,N
0249dc3b8a14999252d4c051114a12fb,N
dd07f081a515c78cd206ffb844e5eb55,N
900c1e44097fd3499f6f7a755a80a8b6,N
88793941bfd73829889ee28e27eac4ce,N
ec757c3133d503b33690301db3093978,N
6d72ee4d2f0b0737eeac274401eceb57,N
000b8b0b57301418b13e784b66f90473,N
05ae603952352b9e1846fb8c9ce77aed,N
6c62065c0842c482ce725340b12a7257,N
f02ec77a9c8ddfe1e0c650074ed5a9fc,N
66d4b224fef51a3d29b0e6b6cf31480c,N
2c419c7f69e4641133c6a13289f50367,N
48636bb8b60e4f32e451e732866534b6,N
186a67d5355101f932bc7afc383dec63,N
e8c4474f22d4ae3e218e720976bac932,N
6c98e77d9a35e9da5f473d0bc37aca77,N
26f69ec94e55448c56cec44b7dd7f200,N
8a6f34fc06e3d1d4bda0b914c69d1e4d,N
8a72d0b56080246ceb2f5c91a178d45e,N
efa279cde23959d4acfdbe83329a3e2f,N
9b7705cca1d953d787a4f66bd87e757c,N
215a1c8effedda52e52275afe1a482c0,N
2523680ecd6f6697c210574295d4c8cf,N
f7ec321056674b8d3b395ce7f182109f,N
ef15e413d3c7c5a5b500b3e8b9e63394,N
25661b77163eeca247d3adc7d047a419,N
c61c6324903fc64b7cbb1788c0a5cd84,N
45c8aab8d715ff80ecefe59c34e2e8af,N
c49c9e24e62c343fd1aaa89463eab1f2,A-
c460ebb60cc33b6a26ec06da08ae92f8,N
c5c4800d0b5889e171e988d0b203fba4,N
a2fb5fcf0091479ad6c1e6885f3fda96,N
b03d876296394ab6bd7929c3a108c211,N
f483b3bb68545c4de81deab3274ea59c,N
5c099983be6585667656d006daba034e,N
158de1e1b7875676e2cfa0df89173c76,N
61bdbedbd15128426e23c90dfd29a2d9,N
3ffe9d14e2dc244b15a168f3b47df9ff,N
0b9da0159e6f280071380e86d17e9578,N
7d26d99c19d9205573801c8ff91b4a9f,N
4fa9b23979b195cd608bc87694ab74b0,N
a131404f8cd2445a2239a86d11876d13,N
b74842398a8c97906af970698b87425a,N
14a1fe7a248210cce89dbb6040c91182,N
5380f4b02b03e0a5db8a02f7cff28780,N
00071696bc4587bddf7824ffcdf86489,N
e2a3ce3793861ee2bbf2a9e3e352a85a,N
12e384f314ee6d28a333ee7400901aeb,N
b7dd1922334af14fdbe0ded2948a211a,N
90ecc0c23cde4fb24e20c155952a1214,N
c1edc66ab052aed92789e9415d63c15a,N
3df5ae4dee25cd3edab7a3726ab4a3ca,N
fc6be361567efdca12ef577f2f262bdc,N
128c0276a72ac83603f3b39cac638e79,N
fd41b3a1ac8cfcdedd70915865a904ff,N
e97ef4be6fff26f72f7653c78b212dc1,N
3660011ebe48cb38afe39a96b3c4e846,N
65c1093403a6dceb1d5efaedef43ef20,N
