entname,qcwynum
eb069359873e96b166b0a9fc29b92f65,6
122a969ae5a223e501ff1bcc30f9990a,18
6093327e9f555eb5927abaafb5593563,2
c2f7db536b1b96817a2438a9e465a38d,1
97e7699ad3bba44e71b5e922c7c67f98,3
9628838f30f1addc305d6526ce4bcb64,3
b17c687c51499b4a9949dbd2f12dccce,2
4460ce9d6a759f890a7aab658c1bfd9b,34
b328175f9c51f04040fbfa6cfa452eb3,4
f32fe3a761f090776148dc6d42c8bd65,7
e2d0d5063c5ddd1046ec0c1732b7d3ec,89
6f8ec4cacc95ebc3c88bf4fe4898356d,2
0529d03d8bb2a2cf1f90119ab530780f,8
0c91661e71f277a1de75327303835641,24
6eba1db4c8e35e6354233483f056bc37,3
23c31817ed06afab1bc47d0d189fef40,1
3612319481ef9f2edaabc470b65e8336,5
de0cab5afa4f522bca01156eba79c0ca,8
8d2868be9420182844530f799e61787c,19
4784b4aa3b7b2b0d469059e048d568e0,5
06f7dc52674a8dac52939c8efbdaec0e,5
7b84a0237e1506b3fe903c819d55cc90,5
3990aec5a41830992df5375b21cb416d,3
60ff0c9f72a9431649cb6c6bd63f3846,1
80149462ffe039dafd87ae62c8ff1547,24
b45978ad2eda23cfe6893b7cfae42d95,7
0db4a1882c429df4715451d6e56ee79e,1
f954fe3326f187cfb2a2138185eaa9bc,8
01db323b50b4c89e3105a31472d87926,23
b0c8743216b905e5f5d2b3f4a808729c,3
3bfa066e41c86aafb9f540471ab86564,5
02ada9c7affe1853059797a1009224b2,14
d6bbc11b812c82304a12aa216de245f2,2
05f326bc442574bde4f4903ed76ab083,5
8a0472e92d5b3b1907410a0cd53b75fa,12
52aa98e07b36fc28d96a073365bb7053,2
24bac5a723bd1a7c991c8b3762a91d82,20
6068a60079a2cec6e1fcbe8cbb13175b,11
e27b5ee79778898e51ef0ef7498562b5,6
b67cd28f221da966e1e47e22dc1a3d97,6
15b02b9b09cd645b36b126a5b63f0147,15
d61785c1b8d529186d6648bf2f6a64c9,2
5f899301868a9b597b6fe8eb3fb26c78,8
d27483929c1cf565ebd55c5742beb75a,27
dd2050e39da33628055866a4a1ddbbf6,2
257978c3b18b06bf9db4d768cf1456f1,9
98d502886769352f67c3c35e7702fe84,1
61c66ed32cc83e1185b63ebe90f43ec0,5
69464db39091dc970a3ea4af8df4cfa0,16
ec8c1bb75a199015058d6880eaadaa46,11
460b63ca8f13fa6646a4c88f578b6d10,402
62f856d24ee8c1cf548d70d83c88f882,30
cb66fc88c49f0f02ec8accd8591e359b,2
f70fdfc028ea7e9f042f8af78701e345,5
88c71ee08a160ce97a66f1b669d94cb8,27
ee7b168261546f104822c76f0de007eb,6
1771783f14a42d20869df88fd079ffb3,16
fcce2cf0ec9b76a27d754446b6ddb498,24
b7b0f4e0fd7421fe95fda230f762687b,11
16ef19c7a80389a972f9121db0f9c0d6,3
1e72ca9a69e24473768c6d92d2448f3c,5
582bd75de8f86554983444ebccdbb678,2
e703e0d75125662d8297c31a7af17c51,5
c6b1d42c53b3e872693223aff895db6a,11
7fa1b419fbe2cd1268425d291ffa121d,26
c5e9e5ce4ab029856362772f5b1ac63d,1
4450f3260d65144ed3bd6c429c19215d,4
468bfebb985f7993e2e91e03811267b0,19
a1ebb0136fcbff525e206873af38af0f,7
7a0d822dcfe55a3a498f65887eda0697,29
a7ba4fbb1f4326540960a1fcfeb79676,24
92fc1fc2c4523cb8a3ab79d903c7eb6c,10
570adecd1c32b5dddf5ee7074a4fb725,10
a83c62230e95cae19538956300a09b06,33
9fa14fe3de2190a19950b40ed3e92b8c,12
2f9d11e73c8ec62cbecd700875825cbf,19
c53f5e2022eb363857cedc64ed9f6c52,3
2490fd0b3f7a8fd521e9e54cde17f917,7
818eaf68b17f3da57005f8950d05d7ad,18
629fca3d33170cc00b973f67aa7c8f83,1
d7e6a7e77a935946efa1fdd8cd85dab6,19
858c9cf9a6a59ad05d3fa4a0bb67486b,13
49d078e2bc2c3211422a6eadc462678d,95
7524cb0b4d660857a23a541635ecb129,2
cef04dd60fdc887815e3f20aa7adb610,10
64d674571a570824cb4f75ec5d47bf41,13
2a682c169d5aef1865c9d94847cc7a47,11
a737d171bcb74bdd0d03a89d131df442,1
176d2d981324ba7f690c7f9ae31eac6f,5
f2712f6c1ea8383263f5bc2a584d9fc7,9
7c3b5786a1c9d9213807ddcca623e1da,37
08567e88771400d56ce01d5b86218afd,10
3ffe9d14e2dc244b15a168f3b47df9ff,5
996fcf5e155f7d3e30cdd3e0c0ec4378,12
f5c4aac76d2c5b48d0fec8d0eedb13d6,31
be6397e4bac225d457657515134fe134,4
907f7fbf271287bda12a9bc5d5a0eeed,55
b986118a82a9b58086b8810ac5fee462,84
1a8af11a83dc79604c8ae23040f9f495,15
2f76a4547d6cb36745793b614b90d4b9,8
e9185c3fca156a4e2a0f183339f65eff,28
bedcf2ff7746c1031376b147927f8393,12
eca521dfb080f9e9c0fb8ec312c95159,2
b10358e0f466504aaaa8c47d5aaaf8ea,27
ccdc364d284797f9ada2a596b0859240,16
fb7d9f1039d460fcd2d9c28914627055,2
d9e015be5efa0cec44274906ef661caa,4
ac0370cfd720b9eedd97dd3144b02ebc,8
83ea6927cfada086db5a7d6eadf614e9,4
ec929875c603a0f22f14571bafdd348f,30
34d25f878a779e2ed0dacb2f9a08942a,35
8e36366bbc0a01cbf6b635dac93a3106,16
90379b76a333a9f0075840f06e61538a,18
66295676140b3a7b61469600a0658a6c,9
10bee72281794859e386d3e8c8ae700a,8
3c149c3862fa43d090a92d654c600a24,43
1a672ce315d9d0845dd6ddfb01d32f11,59
2f112a99b226e40f51417bc4ac6ff223,4
e5cd2fb14f39f1ea252ad1650516f375,3
bb2e1d670ce2f90e698e47bdf666aa63,1
3600fa3df8013f430615b033b882a4ca,9
6013ff33d3047fb8fb485f9d5240018f,31
7684fe99072000c51e010dc216d8ad9a,14
97c4f06380ec6a4c0d41b2d67188906a,10
a926463ebe33e85408ad992adf47e1bd,4
53b176909777d1a87761c7e192209f06,24
e0760dbd0fbbf83fb394ed6fcca52b0d,5
201b7f56ec9257b8200c61ad0c7cd64c,10
84250410fc1c185a173f774e723e9229,3
23167225771247d080801a1c681035fb,2
d4974ef969033af7301efbba7295de0c,12
bcdd0daebf221ccbb8c5c944802fdfc5,4
e161230d827204463fe97dc23d6892de,14
0b7977f924800e3698bac394f66ef190,16
e5e5e55403cbcbc156db849897d92a26,15
5d1f79453c31fcab9daf877179142f7a,4
b14bf3a79f94292d1aebb1b4a27bc112,10
15d7b0733b658f3071dd06eb412a22df,13
cb65d83262770d776cc03ecc617487cf,2
98b4d70a528ae008f3b5a1c63b1fb413,52
6628cfca87ea5afc84b36f59d55c3513,26
19d283c5a31a7c35dcf7ee4f6ab3e740,11
c667b942a392cfb2c8abdc0533cc5730,11
fdc5f9d60076ad9706fc7daf9bc641be,5
f402465280c0f51dfa5605df84692687,19
fe777f34dec68882932e4b76dec7a508,38
21c3b16447b3353f96234fa837f0e1d6,5
b7aaa0e724ed9ec580c5eafdf7a703c1,18
9e3e2f6e4122ba2b8bac28719e0f18b6,45
71f3291e3d2ce0634e9eaab8dfcdbec8,30
75b33425b54a1461479a4ec263bf1e54,4
e3df6010d521f08ed929987b723381c8,63
576bdb3e9ce0925c174af84cbfc9e5b0,50
ea590ddd0e51b38e7d21ab76f0b69757,22
381695993c2e76392e98130f80ca217e,12
1a2ccb18a8dce5d96c090e4abf71ad25,19
ae2ef77d5061c8f4fd68d2512d0aec0d,15
a73b2a08fc63014290c59f81bab047ab,2
15818074d3277d4b3ded8b70e4748dcc,4
916ff55b59fe2c9fab9e9867d4c45dcb,18
42995e829b5bf1d285605bf6db3d8b8d,18
4001a452b3ce83fad051302c57468cdc,12
521d240d60457e9b6d77d8c291f9cadc,33
f2e9582d3ac9b5390be1a166d35e47de,11
4dbdf60fbfb54364d18ab85abb74b02f,12
0fba271113edf26dd0f1a88916c51b67,30
4f9a3a5e399fc1b998c8646b8e81719c,9
f71b5fcfb870ed207ea0609f73436010,8
9cee34bd1ed2b2c3cf3bc239c85c5db1,71
a9b30f72c23abab6e2595048d2cea1e9,16
0cfb2edb9a45ece09f183e1210cf2c34,19
a7c8eefe550a3466b296f25783e18c33,51
bb3cd08f350fbdba50b63f7a1bdc3e7c,7
e16f34708ada39b0447f8416ef1bbc74,22
57ded732243a2300511018df9545b051,31
89a12bde08cd7a62c08e94bea0b1a893,12
dc79e136338487f98fa9b19af2cb353f,101
300ae377e7ebe8d4f7f9b5d96e16b098,53
9ba714459a2967bd1db3ebb2adad55f1,2
b3dccb80159bf8f495e6627b620612ad,64
952adff23df5ec81f195624351e0fa4d,96
bc03e7ef307e3b9bf5ebacf71bca183d,31
f38558babb8171c8310d527ce2eb5b49,33
68d5eba129960598efb267b836320484,12
57c2aed6f6a217ac7886c76f80d72f7b,9
5cf9522e8ce412689a82742b9fc279ef,56
cc66ff3c3b19df80dae4115f7db32334,41
d9722ddc80420e0c8263866256cdcf79,15
d6d85f25e632619b3592075753f7993e,19
d860d748cd87f28109d2d9608f99ccf7,20
edb740a25192660bed47de5817eec5f9,22
fa288d51e60abaa289b6950c4a3711f4,38
66f1a7fe1eb765217da468961fe2336e,10
9a5efb9c41ac8b2cc2c9b4dbec0e680d,9
bba90db7e010ded73e2e658574d81222,35
484f30295c747e6d4692c9a2faf2d5e9,9
a2620a226fb3636cc5e741b751e072ae,26
bd9a5e4a64e957a81fcfbb6cee382b1a,25
ab6d481e6ed8df35a97ab49f2d9808b0,21
6c26a61fc28f4ca852900d174cc2a1ef,15
2923f8edda9cd06668a912b61a3ab96f,14
fbcfaff3691c1a9fb821918c0397e8b7,32
cad73996e50b0eaa407b2089ee15a226,30
8b12872e381509e55d812f39a9b3f19c,23
10048f72005a7bc3001739c5b6f354d2,10
2c4375411de5edd11bc1a4e40cef2c66,7
1ae2bebd2e8411fd437a2ee65f1d2190,11
473bdee045bb130fa248eedf17785914,2
e9f7d72f952053fa3761895f2865fda7,10
23474ba23d66b658af7b500cb9792307,15
fcd46c5d29c130ab7a4d4fd93c53980b,17
7f50cf942ae457940a78a670462375e6,3
840e7fb95f3b425e2c6ad6b23d3951cc,3
e3030c56bd6ade30c2540686c46d591a,2
856bb584312693aaf55f16412ec490c1,12
51ed43ed11a149dc44d6ef33c7d717a0,13
875d7bcfd183f4cde2d4b0c2610b1f83,8
a7f062f3e11b3a4e9c63cc9cf1508019,8
bb83e2c9bcd342255f3985f0dc78b171,4
0162f18039088e992c2e37148b07f8a8,7
6571e0062f8993ae3ce7322fcb43b1c1,3
c3ce8fc8e499e79e1efcbddd71f32454,5
bd673e2f58599d60c13919d41f99dd1f,20
b1f3b279352af855265fb1341a467f4c,1
6ab9c6b592438246bd27aa6fc742df58,2
ec49253f415eeaf2234f3b4c171beeef,1
959bb25ed5b005c768892af81015845e,2
64637a270f442c7cfa17b7aaeb068838,1
8631b5a8378f682210510bbfccfdb530,4
d485ce7e2f5e10cda7b194e9cee81d4a,4
6cf019975cef88ad12efb7e4a3883c32,20
479c5f0033b4f0c7c1440c07c762da4c,5
360cc742a2facf70f9c435fcce3ccd64,15
a32803d3fedc16b9e60b493ff05db09a,3
012d8021a1fda5c2e1881eb28bd53642,6
e21224fe43766dfced783b151a1abf52,51
0253df85f339727915323ae1d65865f5,8
29c68f6e7e7b7d85c8c4ec1e884338fc,15
e4a57738b9cfc049859f174c3f364b59,15
fb5340bdf42a60e7d96dc07ed9e3732e,1
50e753183cc90dc06497954f0b04472f,1
bfcde7eb7ade46bb1fcb76beab90d4c6,3
c575133851917037d050d75e2136c70e,1
b7c32ccbfe45cd3e6ed674c15e578244,4
56aafc9e35ea67d89028636634e939b0,12
dc174688a31dda50b77d60291908d7d9,11
2fbec87ab3812834f61d6224094132d2,16
46c9d7fc0e897bb40bc127b2a4211d59,5
aa44bcab2ebb72c08c3dbcadd4953dbc,2
7cddce1317dac78e08054ea83139a71e,8
270cb985f34bf0afdba9e4411cd304e4,14
ca0f29bce8ce96de6bf96efcad5fea1b,1
8259581da5155eef44361cbf0825c5ba,20
2641ecdbf12dc5591981c5429c73b9f2,7
845f31d68ebf0c1e96db4d6971b72f0e,4
23f9a54090390138b97b942b5fcfc9c7,11
6613b9da7967f0ab8b26a4e496a777cb,7
297f8c85d485c39f197bfce6e27c71c3,16
91d06ca563dc82b505546cb71c42962f,6
18450a511183cc7a606440ffcbe502af,5
a354222a30d6196884540c48eeb65161,10
aee6eefefeb3ed6f3c6d6b0eb7c6c825,3
32d4380fd148eab70b4c57a52d614539,3
14e258e7a7dcf63c152d8734b5f69a78,4
2976463f6f84c2d5eef1770eae0ec773,17
4dced63681099bd71fc2fe651b4b3e50,3
3dad42874351cba042e72ef00d157c1b,10
e3168ce6ec3f38f0cab8a66dae41f841,1
95550e468c919f7e8630d858217b1466,35
bfcf370860644dcbcffc3a4df4d5e9f7,10
ab5f5d9dceb730a3d775acd1fa3f4d93,3
