entname,zhycnum
0e5992a7ef87a02c6fbb6dd6946c49a6,11
368b7dc09cd9fbe3ba7dfe539a2d8ada,2
49d078e2bc2c3211422a6eadc462678d,8
35893e9018fbf5ba550cb1ed877dd173,1
1f463e128eb14d59e9af30e22dec664c,6
498406f649f02e096428af8f84cea467,8
c6b1d42c53b3e872693223aff895db6a,46
0ff4f0d07e0e1989b5a35c27602bcd6c,1
13b0e5a82b65dd2d8f9571589d1477b6,2
d485ce7e2f5e10cda7b194e9cee81d4a,1
7e7a683d46263e132f22c16822af2ff4,1
026c94db54fe6cabeb9923381eefb8cd,1
f7db4318afcdc6ba02c279c65551bd30,1
1771783f14a42d20869df88fd079ffb3,15
6c6fd8f2822b0736019c6fae7443934d,2
6c958264ca41dca0ca4f3aac76b1d34e,6
0fba271113edf26dd0f1a88916c51b67,25
02362434564215591c4d58afcf466082,1
c79ed92b88e287d8ba2e07fdfe7d95c5,1
4fd7a5a037aed38c0422060000cb3fe4,19
e785210ccb33ae0083b80abebc3fdb85,7
b14bf3a79f94292d1aebb1b4a27bc112,2
56e7f0a66eacf950c0a42383dd2a93b9,6
d8149487880d2ad7db725f328ad24137,1
7d52b1239b1e16fe58d19ec7a615eef1,25
dff54b101fec8ccea1d534a5fbeef263,3
e2d0d5063c5ddd1046ec0c1732b7d3ec,7
bdc547773d2d280cff8bf186418f8afa,17
b3dccb80159bf8f495e6627b620612ad,3
5bbdedd5f6d3e59f05fb6f5439cc3ca5,4
2b96edcf73dcd7cc208bd87bf09cf0ac,3
f5aeea42d878ed3e376bbabc45877fbd,10
fb461ee2b0c5514cc6e938577a8c64c9,1
27774650d8bffc5b4f87ff852c247dd1,1
5eca20f84b0a446986525b6a6dc91c41,1
b1655c2ed7d59a19fb62ad40840e0666,4
600ac0e54ea4371a98dcaaf3cddfc5f1,2
d62124f3188319d8f5e3eee01e578aad,2
cf5b8537f76394ee9ead55ec2c1b8ba5,7
e9abfcab0be9fe62d8041e9c721c0579,6
e4a57738b9cfc049859f174c3f364b59,4
358a794c309e5bb5554980a8a5f52c8a,1
6a501483b186b8dfb10d14cc7fb43bcc,1
b119d78a389e480f55462074d252923d,2
7015d77d32aa7b8a24b29cabf0a0df4f,1
ceb728b30fcb9ceae99e097aa63ecfa6,6
a2996f30cb73c98c806a4f41fec2eacd,7
913686648459fd1f08d7799f20892e57,1
fcdb545cf71d834656842040b104d2fe,1
70ada51237068afe6f058a4ab2fe338a,1
2de86463114815b626884b72c8708ed5,5
e914ff3f09a8204bc3c0737c775f8857,3
024e396533db63a4a177d770da9ec294,3
02d43229080ff748eb5d94701fa60aab,3
453e145c2cc4f3ae08cf114a19ac8746,7
2c1cf4cd985eac22d6ae061c42e1a96b,9
