entname,is_bra
79cb386e0857e41f1468e9d01a754c67,2
36447a9f6b53d3e4bbfb3f5670ef17f0,1
aea25bbf8295f693f7000ad5c982a1a7,1
80055c5357de53f3a6fb09b625f4332f,1
345f116687149e878863a99220549dfa,1
95d248bb2b801306b4413cadca027108,3
f0fa88f9081f15cb4ab8305205b8cb06,1
d06323c717262a7c26a7530e08e18412,1
c2d5c96f98d9119cbb18947f4e299bed,3
f611c80c985b2976fa3318ac068fb7cc,1
3dc5348432e717a488fbecb3bdfd90d7,2
a2c3d5df677141651f894845ba36d84f,1
8ed44533f8927cdbcaba8d13f54acf22,1
d6ebb686f1dee8daf1d815194858fde3,1
ce7c0cbe96161136df3e6878f726fc9d,4
0e1c00622d8dade3122a361c8e8e51b3,1
810dd4b18152d29e26209d9fe853dff8,1
fc53e57e674ccd3ff438d23292308270,1
102da64ca14e1cf241b514c3b1340641,1
2ec055efeaa0efafbf0f7677ec6d9faa,1
cb9ff651a976b717301c40f8d55cead5,1
567d3ff1ed47ff0fe84fc9e4579786fe,3
b39e51fa0017b54484e256d32eb67349,1
fd75e505c42fe519a3d2270a635ed271,1
9e89f78539f00534dbb4e9868d461391,1
40c9c78129e9a589abd0e487781321a5,1
e0e5d766943306e4d08935a3779bca83,1
ab8067379bdba15f810fdde35c48638e,1
c3634c5d187fd3f4089a916dc0885f96,2
dbcd18dec36ef6b462627a7351c1b1cc,2
9b0a2a37d793c5849d74481093aa21a0,1
3de0e683501c3ccc352655918d9eb4f8,2
d8f4e1854a776c5e1fe53be9f5965ede,1
1f8b04bdc7b514ed32bd085fe34848b2,2
8c4ede5d4cf8b78645421c5fc2a3b572,1
2993b87935c19d008541457a8be489a1,1
7619c6e2a59f829ae53033b767d22e99,1
07d71caf05470be7007acf5b851dcfb0,4
599d7ccc9cce3eab2e18caddccf99898,1
d0c2925c5af0569371b9789017290031,1
4b8c00bcb6cf5dcfe3c95b88bc5deed8,1
fc4f02570143220ce3cf4c76387be2f9,1
f12268efba6fc8a59cfa532289e3797f,3
ff905ff842849482df585f7764d940de,2
cf8bbbf14c5c9f63e1f0200bbad993be,1
7cd308efc8e98876ea1e0a1df37e39e6,1
30cb402c8167245026839c62a8dc30c4,1
2cfb3ce2929f31c383dfcc94c03a8d15,1
3ff131c9057e75e9aaf8feb7a4c7b829,1
2574bd628f81f5ec89ed260304ba4800,1
161b0a169b134494b69e6296bed32edb,1
8dfa846dfa1b24b9fdd768dc12f1faac,1
444b05a47511ca17a118b1dfb2abe059,1
ba44d60e0fb63ba18b5787ffeeab7581,2
d597872f88e8ac247a1a9e4d9a95deba,1
bef9b299f065b6be4a98c27d1a9bbd4a,2
5ddfef14b4cc6c96876e94e8510587aa,1
8f75ca6cbd1f4a61a17c6f86125ae206,1
67f0caf051fec16fe8a053ec6c684b6d,1
f176789ef223a85a37d8e0c524ed2dc3,4
a7ba4fbb1f4326540960a1fcfeb79676,1
f35c9df63cbf032c94fd7ad910c81e90,4
756561ea68dd91d5bb9adde005fb794b,1
fdb3b86ba8ba8708e66c208cb46050ac,1
25a40087a9cc12b0b60e65418f9e7e08,2
3c5ee67eceec649e0828bdce6d293d00,2
193bd795fd8ba7488979c08e3e4f8d92,1
466052a2677ed2c9473a81f16db900b0,2
