entname,is_except
f41f792303bd7185258ff937ca369bd8,3
1af52c7fa351ef53731c0809d5497210,2
dff7b858c1646d5dd2270cf191412862,2
023e447c8e8b57b2d7789e5434ea00a3,1
6e7a358179dbadc132b090c909c82d5e,1
a660a3c1318e301047fc7ce9df59d515,4
d24cfce3519aa15906a46653dd025d5b,2
47e914110a87e6fb81adb4be7b68ebd6,1
65c5d6886f2542eb4cd3234e4d2b572f,2
39f2c4cf04a5ed70e1e890ef2fbd648a,2
e10f6c302bf9b1b37c9ed5f054334b93,1
b6c6bdea3771bdc4176b2d105e375ff6,3
0232d222020d9cedbc31a0b4b9e7eb73,1
cd19c8eb47ad943ef413d6e915e584ce,3
6aa2d06641daba4c25e45b1e472034e0,2
deab3e5f33e0314c9dfab547f136358b,2
c51a57af2d1a7530a5c60cdb7375c459,1
64549f28e26c2ebc2e45bdc46b1b2ec2,3
642a3250ba923c1ef3e4d0f0abb3501f,2
cef15c6361c2e030c1f716098eb3ed1d,1
38a89eab9a4af2429d5782b4b23bb235,1
2af112aa08ace1700793899c6dd26243,3
aba46f69db80305c3739a6cab16e9090,2
b53accd4c649408672fb263e7fab4376,2
87658a7eb1739e2b0e6e0ec545e7b6cf,2
f0d54e75802616a9ad412273621d1e74,2
ab02d997bf65436cfa05cfb9b43d036a,2
fa2356629f274d72326beb3c87d29c9b,1
d31a062401cff2e5199e0d9db0b4ffdb,2
ceebc7a141d9e740468cb03a986e5f42,4
d0c3b86c1698f0a01fa7c331f60850bd,3
1f7c96c32cb803164d35cce42940194b,1
61c708d44c2cba97f870d063bd73560b,1
db597f64562cc8c7459f95ecb65699af,3
644e60b432b1e93592f2dd19e231af10,4
7c49c9be8ea9b97dde1fd3672ac260da,1
40f2079ccb809c5f258137272bbbffcb,2
db0801c6fb4c851666540652b01cc116,4
be9f2646d7a281bc7c41a3f0c585af3e,1
c67a3fe626a4a05485a5602ffbda37f6,3
b1c91db81853d041f854286639d2d107,2
f59ca4d4f09efad1b18d5d0d6730b814,2
99c7d433afbcf8e8985fe961e4060a78,2
9d2b0511068891581ddf121da79bbf38,1
ddd935e83b382074a797e8e9b2badddb,1
