entname,credit_grade
8727a2bda692822535a684457e0f0ea2,N
94ccc1fe261b667028cf6d033c3ce3fa,N
4a44fdd70d1019ccc059de3c0690512c,N
6579e06cd70abb2bd7df13e07e4aeee4,N
8c97aa04766c330c609157e81eb8bdcc,N
b91060ecdb8218e1aaf9b9912d167d5e,N
0d8e18484d882316ad6311707e292364,N
2a267a3fc2596a235e32f18e178da000,N
7386eed0737a717933ca87920eec2ae5,N
382c5ee400d3b48f00f41d319c3f8092,N
f6700e889064a08b814cd79fb18d4089,N
80835aa01a0dc0eb1461de312677fb88,N
85a07575bfbbd7ccece64874ab8cc784,N
907a645ffe021858b5ae078628f7065c,N
dd8e8bf05322b31f7d7cc74daeb8f9f4,N
4b3dcda6b10a0eca9529d396dde8e256,N
4f043dae65f18245f71aa8faa4d69659,N
90e7c6bd27058a0c9cd0b5160a08ca84,N
f751bb9a033612733f4937bbe6871b9c,N
e07d14b24d4fa9157d813042bf416be2,N
5f576203c19bb6a97eec8baa7c4936e1,N
5eefcc8b5b1c6a3acc21f81ff152fa6d,N
c243fe3b5796b38401804db6b2567d0f,N
1d831775d557b208999916968268df4b,N
06d1abaadb324a1fee4bf53c530b7268,N
1c2892c0424dfc679f214ccc9ee09c43,N
579c6760a556e0a005d46c044f20ee65,N
f86b2732997d7a49cc798b645d41a467,N
72388a46458ff9733110866835d481ec,N
b28b731c0f1755272bc26ec9ad21a24a,N
dbb8bf807d92ae5886c01ffb90ffb0e3,N
3078712c6a7245c4af99cd462e0fad04,N
13f3f9c2627d4e95e3f75a6d9500972c,N
619e6b6f95bb637a158358006ef74966,N
0c9b210551e631c9e1a36fc512b9c723,N
6b7237df1ae79d51261aaa0d71f0fa87,N
dabeadd2b2301897a51d5dbdb045dd34,N
9a07b703a96a88bbafaf09b4afc64cfd,N
8eadc056a70fcc1adce888bf76108fae,N
c5ffb758278bf3116ca9a8a2b965968d,N
2788c01f071c2b57df3b2ab8afb5909a,N
83075ba86cb61d72e1a44e53bc86f5a3,N
4c1154a6551436ef1dc2fb357c949337,N
ac2626523b5944a5845e544ef0c79762,N
7b9e62a44dff7cbb2c16db39b3800233,N
4fa3a95fac6d450b597909678fbf4d02,N
407f244564d22f202178f7faea2dca79,N
e1acf4d1b0288271d21334cb1012cd2c,N
6dd3574b73f8040bbb8fff0f0d5d75c1,N
1cf5107708982c6713101f7ade7e19e5,N
1e71a2d4473e58e8f9cccbc730ba756d,N
7c25917f32a8ce2a39d0499c1173eca1,N
7a6c8b4dfafe914359931ed38142afea,N
06d63a30b7e9a16a70d7c3e0561b108f,N
50f99dde81b344192c03ba2c3e84c952,N
3f0d86b670e82de2c6ce79994b37d5dd,N
c444431f8c32989355fd5e35c754f96a,N
0f3166bd53afa7ca3a05bf4f356d7e4d,N
7c35a90c7c1ad00254228f4526f688cc,N
3412c76b2cf87aa4c0ae636e1381ce81,N
c8e83ecb1a0861f0a6bd4649ae85db7b,N
166a9ad02d549c64bfa585857a0b5367,N
5d2c41e120a579aabb106d138890a065,N
669386cfe0fa2fd3e66e0b5afe98cadf,N
814ce01ffd331b0ae5362a9130edaaf0,N
