entname,record_date,enforce_amount
4c7db6b80510d22abb5fb7ea10a67949,2008-08-11,2020.42
55de2812372236daaea24718f8fe94fa,2010-10-18,25938
4372222d89e442a052b8590a774b217c,2012-10-12,32854
150ac0eb3f7a70d8d61c9f85c2bf57ad,2012-10-10,19650
bd768b33fab3eec4636cb1d81ffafda7,2013-08-29,3571
4372222d89e442a052b8590a774b217c,2013-01-23,16946
7d8589d9d0a830f2e25f087769825d08,2013-10-24,305427.94
94b4620938615fe40511d5664a4df571,2013-06-03,218220
27f75dff678ed9b7c5581ac28f314954,2014-08-18,43000
771b6e23ea1bd404fbbf981263366721,2014-01-10,94610.7
771b6e23ea1bd404fbbf981263366721,2014-03-07,14700
4cca907e08441c706a6ca17f93d8add3,2014-03-03,！！
4f7cdab198cf5b36ea0f813b2731f80a,2014-04-28,57789000
08f3eb544996cdd517b1a7bd1d0e9bb0,2015-11-09,215640.77
f4f9ce05fd3f2b042abdcc7c9c96f671,2015-10-15,17000
f4f9ce05fd3f2b042abdcc7c9c96f671,2015-10-15,10124.16
150ac0eb3f7a70d8d61c9f85c2bf57ad,2015-05-27,105685
2feeb2d7dbb51ff67ee2f27e64245eaa,2015-01-12,4036872.8
2feeb2d7dbb51ff67ee2f27e64245eaa,2015-07-27,3856644
6ff31180709d294b4b7f1ad847fae855,2015-09-23,640698
c495453d266a84e1326653d0c90e47fd,2015-01-27,158316
b49f46838612bd22dfe70504543fd7eb,2015-01-30,436807
f75d5057fb6bfcd27b746b658df09f25,2015-03-16,1991456.2
bac03f590c49532bd79d4a0e22900a7e,2015-12-25,441212
b7ca42813ea12d6893c35b404c222794,2016-04-11,236530
54c5f93ce51f2bdaa29a9aba085f6e56,2016-09-19,44754
54c5f93ce51f2bdaa29a9aba085f6e56,2016-09-19,7500
54c5f93ce51f2bdaa29a9aba085f6e56,2016-09-19,8000
54c5f93ce51f2bdaa29a9aba085f6e56,2016-09-22,7612
54c5f93ce51f2bdaa29a9aba085f6e56,2016-09-23,11429
6c05e89fba96a5361a62233f26a7f385,2016-07-25,20400
b7ca42813ea12d6893c35b404c222794,2016-03-17,65000
497adc0c7112eba9367b0076bc0642df,2016-05-03,900000
497adc0c7112eba9367b0076bc0642df,2016-05-03,900000
e7d5b41cc24f0287b6d45eecc213c9d0,2016-09-06,1605243
b7ca42813ea12d6893c35b404c222794,2016-01-27,17990
e2f7f5ccc2146e6f9269712379d33c49,2016-04-08,1190522
0e940bcbd4a8368d32775c60c245b33d,2016-05-18,1568456
0e940bcbd4a8368d32775c60c245b33d,2016-05-18,1635699
0e940bcbd4a8368d32775c60c245b33d,2016-06-07,2049289
150ac0eb3f7a70d8d61c9f85c2bf57ad,2016-03-24,66386
d09a482283d491172cf07626509f820e,2016-01-04,5000000
d4d0675c3b5bf103ffdcd3c30decb406,2016-04-15,1220100
d4d0675c3b5bf103ffdcd3c30decb406,2016-04-15,7103
d4d0675c3b5bf103ffdcd3c30decb406,2016-04-15,2578
d4d0675c3b5bf103ffdcd3c30decb406,2016-04-15,10409
d130f2853baa8bc9a791b35b47fef661,2016-05-09,699620
c9c712b7f1eef179e9876c724df69408,2016-10-10,1037121
d4d0675c3b5bf103ffdcd3c30decb406,2016-02-05,26306
2feeb2d7dbb51ff67ee2f27e64245eaa,2016-07-06,3856644
4f7cdab198cf5b36ea0f813b2731f80a,2016-04-05,35989328
4f7cdab198cf5b36ea0f813b2731f80a,2016-04-05,31161056
4f7cdab198cf5b36ea0f813b2731f80a,2016-04-05,15873307
c6c6b30cf40b55e4f1285ae4b87fc570,2016-08-01,1069312.1
cc52b38a14708bef67fc50f6a3752812,2016-09-18,238160
497adc0c7112eba9367b0076bc0642df,2017-03-08,1004723
3eb34efb7e210bbe192fee2382cf9243,2017-08-09,229052
f1a03ae211f8f8dea88036763169d2ef,2017-06-28,26686
c495453d266a84e1326653d0c90e47fd,2017-02-22,76000
ddd12879766026daef15f20bc504d670,2017-05-09,294994
8ebd38c92292887e9c6a362d5216c6e4,2017-10-23,508800
b7ca42813ea12d6893c35b404c222794,2017-07-07,59326
6f1e36ff9fffdc30b92d0c37ad786859,2017-07-28,4020
40c9c78129e9a589abd0e487781321a5,2017-08-08,5553742
c9c712b7f1eef179e9876c724df69408,2017-03-01,1600000
f75d5057fb6bfcd27b746b658df09f25,2017-08-16,2000000
b7ca42813ea12d6893c35b404c222794,2017-10-27,105600
cd47949e9bf9f38d0fc61d6a77fd9862,2017-04-14,309896
923d0cb57699f91efa04eda1125db13c,2017-04-21,4461050
9d9f2506b7fbb37e604fe17789a5f32c,2017-09-18,879113
ff53ed63503e08354153efeaafd67055,2017-04-05,513600
d130f2853baa8bc9a791b35b47fef661,2017-07-19,145992
aae0887db1147d9e9d555c07fbb46285,2017-03-27,9977
7fd39653a83783d02cd92f8fbc5022af,2017-06-05,！！
8d701bd8ee69846af2de4302ebe79111,2017-07-25,90000
d09a482283d491172cf07626509f820e,2017-10-16,40465
923d0cb57699f91efa04eda1125db13c,2017-07-21,5357505
923d0cb57699f91efa04eda1125db13c,2017-08-10,183826
d09a482283d491172cf07626509f820e,2017-01-09,2000000
d09a482283d491172cf07626509f820e,2017-01-09,5000000
d09a482283d491172cf07626509f820e,2017-02-24,177500
b920a97981d7c5c999676c3cc484ad52,2017-03-31,12640551
58fe8284768c92163a0ac06cc11dae0d,2017-05-16,220000
728da4133da369b03a439245ac35fd6d,2017-07-28,265662
7646d95a2f62ab11f4229535d7a7ed53,2017-04-07,50000
7fcfb282171cc5390687d262f40c9932,2017-01-05,15379
82d34e3cb08746384e2f5f8d7cddc2ff,2017-03-27,50000
c3e010f6735fba9e988a4be80da1192a,2017-11-08,3939
2feeb2d7dbb51ff67ee2f27e64245eaa,2017-02-20,3800000
c9c712b7f1eef179e9876c724df69408,2017-05-25,499000
9bec64d1aba2d35b3027d27d05677534,2017-03-10,0
9134c4c09ca947289bd79c124c0e2a07,2017-03-01,2078000
867b6eb542551be61f8990a5f4cc835f,2017-06-08,0
87f7650ec23dc5be3b4b522210671489,2017-07-18,11760
95086e2ae3f68f713e12be860ccb3bf0,2017-10-09,5385
31ebae895f3e28bd1a6ca37ddc023446,2017-09-01,29744
7ff2f487d0f99571f4233d6539a79dc7,2018-04-25,398851
7ff2f487d0f99571f4233d6539a79dc7,2018-04-02,1330509
7ff2f487d0f99571f4233d6539a79dc7,2018-04-02,48956
d6423b1f00dff52fd8cc8a10f62bb58c,2018-01-30,860
879a77416b9932752bac25b7bfbcb5e9,2018-02-27,35201
437dd86fe8ec93f3bd0fea48b8759087,2018-03-20,479945
49dfd77519288f7cbe905f039aaca149,2018-03-01,2419
4eb466dbd06f6a4af6ad59c2bf57e896,2018-03-19,15728
4eb466dbd06f6a4af6ad59c2bf57e896,2018-04-10,1350
