entname,zlzpnum
2bb95da757e32e4dd7ba4fe4612b3f89,410
697478af956d144966769d353564e9f0,41
2aff39fe100c45ea488b535e716542d1,28
61bdb7e52bec9fd704c32616247fe127,191
81b2b66ab133b89b97c30c05ab69caa1,9
c4a403a58dabbfdd36d3b7af6a07e7f2,87
270d3896203188b8c2ec56c443c4690f,33
78dc58701317cdce80830648b6dbdf7e,49
bd25071cee45c17c987686ea15975dbb,57
38660d2f92b5cffc774107890e929c8c,39
ba61c08fbd0ee38706cacc97bbfa054c,32
460b63ca8f13fa6646a4c88f578b6d10,235
1d4ba17ddeca18f4821995a911b0b6b5,43
4c28c85d65cd35a1a846e3296257d01b,83
4fe8638a8ccf8f414082f70a371463e2,27
c8646af05933cae46d5f63db5d3e0334,24
e16f34708ada39b0447f8416ef1bbc74,17
501511b807c7e6b74ca81d31023899be,3
b80f12d8bd2a8a96501208e9ec619db1,6
ac0370cfd720b9eedd97dd3144b02ebc,1
d4974ef969033af7301efbba7295de0c,1
41e3d623d648abd9ae9d9c091b158330,69
e94713f157eb656b0980f81af10eb7f0,404
5d953aaa40761211ba1912bbd9ff7f04,13
6337caa9bd7876ead23d031f88c2e27d,31
a65acc9bc0cd8d70092b360d70576034,4
0109bc49f49a3dbd77b6bc3d88a3053d,1
f75b2acffda05df67cffd616e38222ec,7
dcadf1b71b9d5b543b6d499730a8df5b,11
cad73996e50b0eaa407b2089ee15a226,28
9f36d203164faff7bf64ba01782ff4cd,27
62a55308e3560e1fc9b8f575582208db,8
84be69a6eb403b4e3da59ce53829dc2a,15
6b60760fbe8b90920d0e3e8fd89a55e6,2
633e39e32ffbfe2927233c25a987b59d,8
0cfb2edb9a45ece09f183e1210cf2c34,23
c963d87704625b37c61c5557ea753fd9,3
c514e60a4d7c5a40c40ab1adb73f085c,22
534b5527ea8bfc6fd5e112fa6fd8122b,8
7f7f37f3872c09318458c5de19dd282c,16
9cee34bd1ed2b2c3cf3bc239c85c5db1,4
3c149c3862fa43d090a92d654c600a24,36
921a8cd9a5154c8bf64df10260da498b,16
e2d0d5063c5ddd1046ec0c1732b7d3ec,157
396ebd58c0f6468d3b473dffa768f647,1
73df159cd13da097d6194b5ba8e1f249,13
1916fd0991a89aa0619c270308b3227f,9
9e89f78539f00534dbb4e9868d461391,18
f80dc3a8ebec0627d52d2c0a618a36c9,18
209ea9dc66065dd98729476478fc33d3,10
4f98076b30b9cee5ddf5a4ba6ac8b9a2,47
66ab0ccf5ec2410e1c433400fb95e1db,4
8a0472e92d5b3b1907410a0cd53b75fa,2
bec43cb38b455c3d2611e8262d1e4789,17
4460ce9d6a759f890a7aab658c1bfd9b,37
ade17a9fbdabd625dc59ed62649e28a9,1
a982763babf6513175facee04d268558,22
f3c5e4b112d13c5b170a5f569dce9984,3
b6c452534649aca6dcda8d8e0f33f747,4
38610ddc63a18033843967027c635edd,11
27774650d8bffc5b4f87ff852c247dd1,33
8286bfd3df617a4fd396612e564b6b89,8
0e902606d05c70bb02a3b28ff9c41113,7
bd673e2f58599d60c13919d41f99dd1f,9
66be6f3400f98e95fc34aafb9ae55637,2
1207a0979d5daa80606917918202e116,30
f89189cd757484dc21f9cf19b3e1ad86,21
4057c1dabcc450ce801bcfc70d025c19,25
dc79e136338487f98fa9b19af2cb353f,49
